HSPA1A GSR {}
SETX BCL2 {}
SETX ENO2 {}
SETX RPS8 {}
TNFRSF21 PARK7 {}
TNFRSF21 SQSTM1 {}
TNFRSF21 IGF1 {}
TNFRSF21 CD2AP {}
TNFRSF21 VCP {}
TNFRSF21 NCSTN {}
TNFRSF21 BCL2 {}
TNFRSF21 ENO2 {}
BCL2 ENO2 {}
BCL2 APOE {}
BCL2 CCNF {}
BCL2 NCSTN {}
NCSTN ENO2 {}
ENO2 TYROBP {}
ENO2 TARDBP {}
ENO2 RPS8 {}
ENO2 BIN1 {}
ENO2 PARK7 {}
ENO2 DNM1L {}
ENO2 CHMP2B {}
ENO2 CD2AP {}
ENO2 PICALM {}
ENO2 HNRNPA1 {}
TNF DRD1 {}
DRD1 MTHFR {}
DRD1 NQO1 {}
HMOX1 DPYSL2 {}
EIF2S1 BDNF {}
EIF2S1 TPI1 {}
EIF2S1 F2 {}
EIF2S1 RELN {}
BDNF FUS {}
TPI1 MTHFR {}
F2 GDNF {}
RELN EPHA4 {}
RELN PSEN1 {}
RELN MAPT {}
PARK7 ESR1 {}
SQSTM1 DNM1L {}
SQSTM1 RPL23A {}
IGF1 AMFR {}
IGF1 ENO1 {}
VCP TOMM40 {}
VCP PICALM {}
MTHFR ATXN2 {}
MTHFR CALM1 {}
MTHFR CASP3 {}
CALM1 CASP3 {}
CALM1 NQO1 {}
CASP3 NQO1 {}
DCTN1 IGF2 {}
DCTN1 EWSR1 {}
IGF2 PICALM {}
IGF2 BIN1 {}
IGF2 IDE {}
IGF2 EWSR1 {}
IGF2 VAPB {}
EWSR1 IDE {}
EWSR1 VAPB {}
RPS8 APOE {}
RPS8 PICALM {}
RPS8 EPHA1 {}
RPS8 BAX {}
TYROBP PICALM {}
TYROBP BIN1 {}
TYROBP TARDBP {}
TYROBP APOC1 {}
TYROBP ADAM10 {}
TYROBP FUS {}
PICALM APOC1 {}
PICALM TARDBP {}
PICALM CHMP2B {}
PICALM DNM1L {}
PICALM CAMK1G {}
PICALM UBQLN2 {}
BIN1 APOC1 {}
BIN1 TARDBP {}
BIN1 CHMP2B {}
TARDBP VAPB {}
TARDBP CHMP2B {}
TOMM40 GAK {}
GAK DPP6 {}
LRRK2 HLA-DRA {}
INS DNM1L {}
INS HFE {}
INS HGF {}
DNM1L APOE {}
DNM1L PTGS2 {}
HFE NGF {}
SIGMAR1 HLA-DRA {}
HLA-DRA NGF {}
HLA-DRA TALDO1 {}
HLA-DRA A2M {}
HLA-DRA MATR3 {}
HLA-DRA NOS1 {}
NGF NOS1 {}
GAPDHS APOE {}
GAPDHS PPARG {}
GAPDHS LEP {}
GAPDHS CDK5 {}
GAPDHS BAX {}
RPL14 SOD1 {}
RPL14 ESR1 {}
RPL14 OPTN {}
AMFR ENO1 {}
ESR1 CRH {}
ESR1 CHMP2B {}
ESR1 MATR3 {}
ESR1 ERBB4 {}
PTGS2 GFAP {}
RPL23A UBQLN2 {}
CDK5 APOE {}
CDK5 DNMT1 {}
CDK5 HNRNPA2B1 {}
CDK5 GFAP {}
CDK5 BAX {}
HNRNPA2B1 BAX {}
BAX APOE {}
BAX PPARG {}
BAX DNMT1 {}
BAX GFAP {}
VAPB IDE {}
TP53 GFAP {}
TP53 TREM2 {}
TP53 NOTCH3 {}
TP53 BACE1 {}
APOE PPARG {}
APOE GFAP {}
TALDO1 PPARGC1A {}
A2M MATR3 {}
INSR LEP {}
NOTCH3 OPTN {}
PPARGC1A DNMT1 {}
MAPT GDNF {}
GDNF DNMT1 {}
DNMT1 GSK3B {}
