TOMM40 EPHA4 {}
SOD1 PTGS2 {}
SOD1 FBP1 {}
SOD1 AMFR {}
SOD1 TFAM {}
SOD1 F2 {}
NGF INS {}
NGF TYROBP {}
NGF PTGS2 {}
NGF MAP2 {}
NGF CLU {}
NGF RPL14 {}
INS IGF2R {}
INS FBP1 {}
INS MAP3K5 {}
INS ATXN2 {}
INS PSEN2 {}
INS PTGS2 {}
INS MAP2 {}
INS CLU {}
MAP2 CLU {}
MAP2 PGRMC1 {}
MAP2 NCSTN {}
MAP2 PTGS2 {}
PTGS2 CLU {}
CLU CDK5 {}
CLU DPYSL2 {}
CLU RPL14 {}
CLU HMOX1 {}
CLU IGF2R {}
CLU SQSTM1 {}
CLU BAX {}
CLU ATXN2 {}
CLU INSR {}
CLU CHMP2B {}
RPL23A FUS {}
FUS LEP {}
FUS PPARGC1A {}
HNRNPA1 PPARG {}
RPS8 OPTN {}
RPS8 GSR {}
RPS8 MATR3 {}
RPS8 GDNF {}
OPTN DCTN1 {}
GSR LEP {}
MATR3 NQO1 {}
GDNF TF {}
GDNF VCP {}
GDNF TALDO1 {}
IGF2R EPHA1 {}
FBP1 SQSTM1 {}
FBP1 EIF2S1 {}
MAP3K5 SOD2 {}
MAP3K5 PINK1 {}
PSEN2 NOS1 {}
PSEN2 INSR {}
LEP C9orf72 {}
LEP RELN {}
LEP A2M {}
RELN A2M {}
RELN PPARGC1A {}
A2M PPARGC1A {}
DNMT1 TP53 {}
DNMT1 IGF1 {}
TP53 INSR {}
TP53 HMOX1 {}
TP53 PICALM {}
TP53 IGF1 {}
TP53 APP {}
IGF1 PICALM {}
IGF1 APP {}
RPL14 PGRMC1 {}
RPL14 INSR {}
RPL14 DNM1L {}
RPL14 BDNF {}
CDK5 INSR {}
CDK5 HMOX1 {}
CDK5 DPYSL2 {}
CDK5 HFE {}
CDK5 CRH {}
CDK5 DCTN1 {}
INSR HFE {}
INSR DPYSL2 {}
INSR BAX {}
INSR SQSTM1 {}
INSR HLA-DRB5 {}
INSR ENO2 {}
HMOX1 HFE {}
HMOX1 DPYSL2 {}
HMOX1 BAX {}
DPYSL2 APP {}
DPYSL2 BAX {}
NOS1 DPP6 {}
DPP6 NOS3 {}
VPS35 TREM2 {}
HNRNPA2B1 SQSTM1 {}
HNRNPA2B1 CD2AP {}
HNRNPA2B1 IGF1R {}
SQSTM1 PGRMC1 {}
SQSTM1 TARDBP {}
CD2AP GAK {}
CALM1 TREM2 {}
TREM2 GAK {}
TREM2 HGF {}
TREM2 TNF {}
TREM2 MAOB {}
TREM2 BIN1 {}
GAK BIN1 {}
WWOX PGRMC1 {}
WWOX ADAM10 {}
WWOX PARK2 {}
WWOX MTHFR {}
WWOX BDNF {}
SETX UBQLN2 {}
SETX EPHA1 {}
SETX PARK7 {}
SOD2 PINK1 {}
EPHA1 TPI1 {}
EPHA1 BAX {}
EPHA1 MAOB {}
EPHA1 PSEN1 {}
TARDBP TNFRSF21 {}
EIF2S1 ENO2 {}
MTHFR PGRMC1 {}
MTHFR BCL2 {}
MTHFR PON1 {}
MTHFR TNFRSF21 {}
MTHFR BDNF {}
PON1 BDNF {}
BDNF PGRMC1 {}
BDNF ADAM10 {}
BDNF BCL2 {}
BDNF TNFRSF21 {}
APP PICALM {}
SNCA TNFRSF21 {}
SNCA TFAM {}
SNCA AMFR {}
SNCA F2 {}
PGRMC1 ADAM10 {}
PGRMC1 TNFRSF21 {}
HGF BACE1 {}
TNF MAOB {}
CAMK1G PARK2 {}
AMFR PARK7 {}
BACE1 BCL2 {}
TALDO1 NQO1 {}
NQO1 BCL2 {}
BCL2 HLA-DRA {}
