CLU TYROBP {}
HLA-DRB5 MTHFR {}
PSEN1 PARK2 {}
PINK1 RPL23A {}
PINK1 PICALM {}
PINK1 RPS8 {}
RPL23A HNRNPA1 {}
RPL23A TREM2 {}
PICALM MAOB {}
DNMT1 PARK2 {}
PARK2 MAOB {}
PARK2 APP {}
PARK2 PARK7 {}
PARK2 OPTN {}
PARK2 MAP2 {}
MAOB MAP2 {}
GFAP HNRNPA1 {}
GFAP FUS {}
GFAP APOC1 {}
GFAP VCP {}
GFAP HSPA1A {}
APOE UNC13A {}
APOE CAMK1G {}
APOE DRD1 {}
WWOX IGF2R {}
CAMK1G UBQLN2 {}
CAMK1G ADAM10 {}
CAMK1G OPTN {}
CAMK1G HFE {}
TREM2 TNF {}
SOD2 SOD1 {}
VCP HNRNPA1 {}
VCP TALDO1 {}
VCP CHMP2B {}
VCP TNF {}
VCP HSPA1A {}
CHMP2B HSPA1A {}
HSPA1A HNRNPA1 {}
HSPA1A FUS {}
HSPA1A TALDO1 {}
HSPA1A TNF {}
VPS35 IGF1 {}
CALM1 TNF {}
CALM1 LEP {}
CALM1 GSK3B {}
CALM1 BDNF {}
HNRNPA1 FUS {}
HNRNPA1 TNF {}
APP BIN1 {}
PARK7 OPTN {}
HMOX1 APOC1 {}
GSK3B DRD1 {}
BIN1 TALDO1 {}
F2 NOS3 {}
NOS3 TALDO1 {}
TALDO1 INS {}
