GSK3B EIF2S1 {}
GPX1 SNCA {}
GPX1 F2 {}
GPX1 HFE {}
GPX1 RPL6 {}
IGF1R SQSTM1 {}
SQSTM1 GDNF {}
SQSTM1 RELN {}
HNRNPA1 GSR {}
IGF2 PON1 {}
IGF2 IGF2R {}
IGF2 CDK5 {}
IGF2 ERBB4 {}
PON1 PTGS2 {}
IGF2R GDNF {}
CDK5 MAP2 {}
ERBB4 RPL23A {}
ERBB4 HLA-DRA {}
ERBB4 MAPT {}
ESR1 PSEN2 {}
ENO1 DCTN1 {}
ENO1 CAMK1G {}
TALDO1 HGF {}
TALDO1 TNF {}
DNMT1 RPS8 {}
DNMT1 HFE {}
GDNF MAP3K5 {}
GDNF TYROBP {}
GDNF CCNF {}
TYROBP CCNF {}
TYROBP RELN {}
CCNF RELN {}
TREM2 GFAP {}
TREM2 EWSR1 {}
GFAP HFE {}
GFAP ATP5A1 {}
GFAP CRH {}
GFAP EWSR1 {}
GFAP OPTN {}
EWSR1 CRH {}
EWSR1 OPTN {}
A2M RPL14 {}
A2M HFE {}
A2M CALM1 {}
A2M INSR {}
DHCR24 HFE {}
DHCR24 ATP5A1 {}
DHCR24 MTHFR {}
DHCR24 GSTA4 {}
DHCR24 APP {}
DHCR24 PTGS2 {}
HFE GSTA4 {}
HFE MTHFR {}
HFE SNCA {}
HFE DCTN1 {}
HFE PPARGC1A {}
HFE TFAM {}
ATP5A1 GSTA4 {}
ATP5A1 MTHFR {}
ATP5A1 SNCA {}
MTHFR OPTN {}
MTHFR SNCA {}
RPS8 FUS {}
FUS NQO1 {}
TF BACE1 {}
APOC1 DCTN1 {}
APOC1 APOE {}
APOC1 EPHA4 {}
DCTN1 RPL14 {}
DCTN1 VAPB {}
APOE CASP3 {}
TOMM40 BACE1 {}
BACE1 CASP3 {}
BACE1 INS {}
BACE1 MATR3 {}
BACE1 SIGMAR1 {}
BACE1 NOS1 {}
CASP3 NOS1 {}
BAG5 RPL14 {}
BAG5 WWOX {}
BAG5 HTRA1 {}
BAG5 DPYSL2 {}
BAG5 INSR {}
AMFR SOD2 {}
AMFR PSEN2 {}
AMFR PARK2 {}
HGF TNF {}
PSEN2 PSEN1 {}
PSEN2 SNCA {}
PSEN2 SIGMAR1 {}
PSEN2 DRD1 {}
VAPB PPARG {}
CAMK1G TFAM {}
DPYSL2 RPL14 {}
DPYSL2 VCP {}
DPYSL2 TPI1 {}
DPYSL2 PPARG {}
DPYSL2 INSR {}
TPI1 INSR {}
INSR RPL14 {}
INSR WWOX {}
INSR VCP {}
INSR PPARG {}
OPTN CRH {}
FBP1 PPARG {}
FBP1 BDNF {}
FBP1 IL6 {}
FBP1 NOS3 {}
RPL14 WWOX {}
RPL14 PPARG {}
INS LRRK2 {}
MATR3 SIGMAR1 {}
ENO2 HTRA1 {}
IL6 PARK2 {}
LRRK2 VCP {}
MAPT MAP2 {}
MAP2 VCP {}
VCP GSTM1 {}
