FUS INS {}
RPL14 NOS1 {}
SORL1 CALM1 {}
UNC13A GSK3B {}
UNC13A IL1B {}
UNC13A CDK5 {}
UNC13A TREM2 {}
GSK3B TBK1 {}
IL1B PGRMC1 {}
CDK5 IL6 {}
TREM2 CD2AP {}
TREM2 RELN {}
TREM2 GAPDHS {}
VAPB HLA-DRB5 {}
PON1 GDNF {}
PON1 PSEN2 {}
FBP1 MAP2 {}
FBP1 TPI1 {}
DRD1 NCSTN {}
DRD1 HSPA1A {}
PGRMC1 RPL23A {}
PGRMC1 WWOX {}
PGRMC1 DCTN1 {}
WWOX DCTN1 {}
WWOX NOS1 {}
DCTN1 NOS1 {}
CCNF HFE {}
CCNF BAX {}
HFE HSPA1A {}
HFE RPL6 {}
HFE TFAM {}
HFE BAX {}
HFE IGF1R {}
BAX TFAM {}
BAX IGF1R {}
TNF GPX1 {}
TNF HSPA1A {}
TNF ATP5A1 {}
TNF EPHA4 {}
CASP3 HSPA1A {}
CASP3 RPL6 {}
CASP3 ATXN2 {}
CASP3 TF {}
CASP3 INPP5D {}
CASP3 TBK1 {}
HSPA1A TF {}
HSPA1A ATXN2 {}
HSPA1A SOD1 {}
HSPA1A GDNF {}
HSPA1A IGF2 {}
HSPA1A DPP6 {}
RPL6 TF {}
RPL6 ATXN2 {}
RPL6 SOD1 {}
ATXN2 IGF1R {}
ATXN2 SOD1 {}
NCSTN PPARG {}
PPARG GSTM1 {}
APP CRH {}
GAK GDNF {}
GAK BIN1 {}
GAK APOE {}
GDNF GPX1 {}
GDNF MATR3 {}
BIN1 TOMM40 {}
CLU CRH {}
CRH TOMM40 {}
CRH DHCR24 {}
CRH ENO2 {}
CRH PARK7 {}
CRH ESR1 {}
TOMM40 ESR1 {}
NGF GPX1 {}
NGF TARDBP {}
NGF AMFR {}
NGF TP53 {}
NGF EPHA4 {}
EWSR1 CHMP2B {}
EWSR1 HLA-DRB5 {}
EWSR1 UBQLN2 {}
MAP2 TPI1 {}
HLA-DRB5 GSR {}
HLA-DRB5 SOD1 {}
HLA-DRB5 PARK7 {}
HLA-DRB5 SETX {}
MATR3 LEP {}
PSEN2 DPP6 {}
TP53 GPX1 {}
TP53 PICALM {}
TP53 C9orf72 {}
TP53 LEP {}
TP53 EPHA4 {}
C9orf72 EPHA4 {}
EPHA4 GPX1 {}
EPHA4 TARDBP {}
EPHA4 PICALM {}
EPHA4 LEP {}
IGF1R TFAM {}
BAG5 LEP {}
BAG5 TALDO1 {}
BAG5 ERBB4 {}
BAG5 CAMK1G {}
GPX1 TARDBP {}
GPX1 LEP {}
DHCR24 HMOX1 {}
ENO2 PARK7 {}
TYROBP AMFR {}
ERBB4 UBQLN2 {}
HMOX1 PICALM {}
GAPDHS IL6 {}
IL6 PICALM {}
PICALM EIF2S1 {}
