F2 AMFR {}
ENO2 HNRNPA1 {}
ENO2 RPL6 {}
ENO2 IGF2R {}
ENO2 BDNF {}
TP53 RPL6 {}
TP53 ATXN2 {}
TP53 PON1 {}
TP53 IGF1R {}
TP53 VAPB {}
TP53 PARK2 {}
RPL6 IGF1R {}
RPL6 PON1 {}
RPL6 INPP5D {}
RPL6 GAPDHS {}
RPL6 SIGMAR1 {}
RPL6 BAX {}
ATXN2 IGF1R {}
ATXN2 PON1 {}
ATXN2 INPP5D {}
PON1 GSR {}
PON1 INPP5D {}
CHMP2B HTRA1 {}
HTRA1 BAG5 {}
PARK7 NQO1 {}
DCTN1 GAPDHS {}
DCTN1 MAOB {}
DCTN1 HFE {}
GAPDHS HNRNPA1 {}
GAPDHS EWSR1 {}
MAOB RPS8 {}
ATP5A1 NQO1 {}
NQO1 RPS8 {}
NQO1 UBQLN2 {}
NQO1 PINK1 {}
NQO1 TALDO1 {}
NQO1 MATR3 {}
RPS8 MATR3 {}
DPP6 HNRNPA1 {}
DPP6 SNCA {}
DPP6 VPS35 {}
DPP6 TPI1 {}
DPP6 BDNF {}
PSEN1 TYROBP {}
PSEN1 INSR {}
PSEN1 IL1B {}
BIN1 IGF2 {}
INSR NOTCH3 {}
INSR INPP5D {}
INSR TALDO1 {}
INSR EIF2S1 {}
EWSR1 HGF {}
CAMK1G BAX {}
TPI1 HNRNPA1 {}
TPI1 ESR1 {}
TPI1 APOE {}
TPI1 HGF {}
TPI1 BDNF {}
APOE BDNF {}
BDNF HNRNPA1 {}
BDNF SNCA {}
BDNF ESR1 {}
BDNF HGF {}
GSR FUS {}
TFAM HGF {}
TFAM APOC1 {}
TFAM BACE1 {}
TFAM GDNF {}
HNRNPA1 SNCA {}
HNRNPA1 HGF {}
UBQLN2 SQSTM1 {}
PINK1 TALDO1 {}
RELN VPS35 {}
BACE1 IL1B {}
SQSTM1 ESR1 {}
SOD2 GAK {}
GAK ESR1 {}
ESR1 C9orf72 {}
