TFAM ADAM10 {}
PSEN1 BDNF {}
PSEN1 HLA-DRB5 {}
WWOX HFE {}
HFE C9orf72 {}
GSTM1 IDE {}
CHMP2B PON1 {}
CHMP2B HSPA9 {}
CHMP2B PTGS2 {}
PON1 TYROBP {}
PON1 RPS8 {}
HSPA9 TP53 {}
CAMK1G IDE {}
IDE TP53 {}
IDE UNC13A {}
IDE MAOB {}
IDE A2M {}
IDE HLA-DRA {}
TP53 HLA-DRA {}
ATP5A1 TYROBP {}
ATP5A1 VCP {}
ATP5A1 TREM2 {}
ATP5A1 NOTCH3 {}
ATP5A1 SETX {}
ESR1 VAPB {}
ESR1 DPP6 {}
ESR1 TARDBP {}
BIN1 NOS1 {}
DPP6 NQO1 {}
DPP6 HLA-DRB5 {}
DPP6 A2M {}
DPP6 APOC1 {}
RPS8 BACE1 {}
HNRNPA2B1 GSR {}
NOTCH3 TYROBP {}
NOTCH3 EIF2S1 {}
NOTCH3 CDK5 {}
NOTCH3 BACE1 {}
NOTCH3 SETX {}
CDK5 SETX {}
SETX TYROBP {}
SETX VCP {}
SETX EIF2S1 {}
SETX BACE1 {}
BDNF CD2AP {}
PGRMC1 BACE1 {}
PGRMC1 DHCR24 {}
PGRMC1 RPL23A {}
PGRMC1 SOD1 {}
TYROBP VCP {}
TYROBP BACE1 {}
UNC13A GFAP {}
MAOB A2M {}
APP TREM2 {}
RPL23A TARDBP {}
GFAP EIF2S1 {}
VPS35 IGF2 {}
IGF2 EIF2S1 {}
EIF2S1 SORL1 {}
