APP IL6 {}
BAG5 PTGS2 {}
ESR1 PGRMC1 {}
ESR1 PTGS2 {}
SOD1 BCL2 {}
SOD1 ATXN2 {}
SOD1 CAMK1G {}
SOD1 GAK {}
IGF1R ATXN2 {}
IGF1R VPS35 {}
IGF1R RPL23A {}
IGF1R HSPA1A {}
IGF1R C9orf72 {}
IGF1R TYROBP {}
ATXN2 HSPA1A {}
ATXN2 RPL23A {}
ATXN2 INPP5D {}
ATXN2 GFAP {}
ATXN2 VAPB {}
ATXN2 TALDO1 {}
VPS35 HSPA1A {}
VPS35 RPL23A {}
VPS35 INPP5D {}
RPL23A PTGS2 {}
RPL23A INPP5D {}
NOTCH3 ERBB4 {}
ERBB4 TREM2 {}
TFAM LEP {}
EWSR1 GFAP {}
EWSR1 HNRNPA2B1 {}
EWSR1 NOS3 {}
GFAP BCL2 {}
GFAP PON1 {}
HNRNPA2B1 GSK3B {}
INSR LEP {}
LEP GSK3B {}
LEP GDNF {}
LEP NCSTN {}
LEP AMFR {}
LEP SNCA {}
GSK3B SNCA {}
RPS8 BCL2 {}
RPS8 MAPT {}
RPS8 TNF {}
RPS8 CRH {}
RPS8 GAK {}
SETX GSTM1 {}
SETX IGF2R {}
SETX EPHA4 {}
TP53 ENO2 {}
IGF2R GSR {}
IGF2R INPP5D {}
IGF2R AMFR {}
IGF2R MAP2 {}
PON1 BIN1 {}
RPL14 TALDO1 {}
CRH BCL2 {}
CRH BAX {}
CRH PARK7 {}
CRH BIN1 {}
CRH GAK {}
PARK7 GAK {}
GAK BCL2 {}
GAK MAPT {}
GAK BAX {}
GAK BIN1 {}
PTGS2 PGRMC1 {}
CCNF BIN1 {}
CCNF PINK1 {}
CCNF WWOX {}
CCNF LRRK2 {}
BCL2 MAPT {}
BCL2 BIN1 {}
GDNF APOC1 {}
NCSTN AMFR {}
DCTN1 TNF {}
WWOX EPHA4 {}
APOC1 BAX {}
HGF HTRA1 {}
HTRA1 BAX {}
BAX PSEN2 {}
