TBK1 VCP {}
CHMP2B GSTM1 {}
CHMP2B BACE1 {}
CHMP2B AMFR {}
GSTM1 ENO2 {}
GSTM1 APOC1 {}
BACE1 PSEN2 {}
NOTCH3 HNRNPA1 {}
HNRNPA1 PSEN2 {}
HNRNPA1 MTHFR {}
HNRNPA1 TALDO1 {}
HNRNPA1 GSK3B {}
HNRNPA1 EIF2S1 {}
PSEN2 EIF2S1 {}
HNRNPA2B1 ENO2 {}
HNRNPA2B1 NOS3 {}
HNRNPA2B1 IL6 {}
HNRNPA2B1 DCTN1 {}
HNRNPA2B1 RELN {}
RPL14 TARDBP {}
RPL14 PPARG {}
RPL14 GAPDHS {}
SIGMAR1 FUS {}
PPARG BDNF {}
PPARG PTGS2 {}
PPARG GSK3B {}
PPARG A2M {}
APOC1 INSR {}
NOS1 GFAP {}
DCTN1 ENO2 {}
DCTN1 TFAM {}
DCTN1 HLA-DRB5 {}
DCTN1 INSR {}
DCTN1 RELN {}
HLA-DRB5 RELN {}
RELN ENO2 {}
RELN NOS3 {}
RELN TFAM {}
RELN INSR {}
F2 ATXN2 {}
GPX1 INSR {}
GPX1 ENO1 {}
GPX1 FBP1 {}
GPX1 SOD2 {}
ENO2 NOS3 {}
ENO2 INSR {}
MTHFR PON1 {}
TALDO1 GSK3B {}
BAX IL6 {}
FBP1 GAPDHS {}
PON1 TFAM {}
OPTN NCSTN {}
NCSTN TFAM {}
TFAM ATP5A1 {}
