ERBB4 MAOB {}
AMFR GSTA4 {}
AMFR NCSTN {}
AMFR RPL6 {}
AMFR TPI1 {}
AMFR EPHA4 {}
TPI1 RPL6 {}
TPI1 EPHA4 {}
TF DHCR24 {}
TF GSTA4 {}
TF PPARGC1A {}
TF NGF {}
NOTCH3 GSTA4 {}
NOTCH3 NCSTN {}
NOTCH3 F2 {}
NOTCH3 RPL14 {}
NOTCH3 IL1B {}
NOTCH3 BIN1 {}
GSTA4 RPL14 {}
GSTA4 F2 {}
GSTA4 GAK {}
GSTA4 RELN {}
GSTA4 DNMT1 {}
GSTA4 DPP6 {}
NCSTN RPL14 {}
NCSTN F2 {}
NCSTN GAK {}
F2 EPHA4 {}
F2 GAK {}
EIF2S1 TBK1 {}
TBK1 GSR {}
SQSTM1 HLA-DRB5 {}
IGF2 RELN {}
IGF2 SNCA {}
IGF2 TALDO1 {}
RELN DHCR24 {}
RELN OPTN {}
SNCA UBQLN2 {}
APP HLA-DRB5 {}
HLA-DRB5 UBQLN2 {}
HLA-DRB5 CCNF {}
HLA-DRB5 TFAM {}
HLA-DRB5 CHMP2B {}
HLA-DRB5 MATR3 {}
UBQLN2 MATR3 {}
ADAM10 DHCR24 {}
ADAM10 HTRA1 {}
ADAM10 BCL2 {}
ADAM10 TOMM40 {}
ADAM10 NGF {}
EWSR1 GSTM1 {}
EWSR1 EPHA1 {}
EWSR1 BDNF {}
VCP PARK7 {}
EPHA1 INS {}
EPHA1 GAK {}
EPHA1 CHMP2B {}
EPHA1 C9orf72 {}
OPTN TARDBP {}
APOC1 DPP6 {}
TOMM40 DHCR24 {}
TOMM40 TREM2 {}
TOMM40 DPYSL2 {}
TOMM40 TARDBP {}
TOMM40 NGF {}
DPYSL2 NGF {}
NGF DHCR24 {}
NGF HTRA1 {}
NGF TREM2 {}
NGF TARDBP {}
EPHA4 RPL6 {}
VAPB TARDBP {}
VAPB GAPDHS {}
VAPB A2M {}
VAPB MAP3K5 {}
DHCR24 HTRA1 {}
DHCR24 TARDBP {}
CCNF DNM1L {}
TFAM CHMP2B {}
ENO1 BCL2 {}
A2M BDNF {}
DNM1L TREM2 {}
PTGS2 LRRK2 {}
LRRK2 TREM2 {}
TREM2 PARK2 {}
