IDE MTHFR {}
ADAM10 FUS {}
ADAM10 ESR1 {}
ADAM10 APOC1 {}
ADAM10 F2 {}
HFE NQO1 {}
NQO1 CCNF {}
NQO1 VPS35 {}
CDK5 DRD1 {}
SQSTM1 C9orf72 {}
SQSTM1 GPX1 {}
SQSTM1 TYROBP {}
SQSTM1 GSK3B {}
C9orf72 MAOB {}
GPX1 CCNF {}
TYROBP CD2AP {}
GSK3B LRRK2 {}
GSK3B RPS8 {}
GSK3B ERBB4 {}
VAPB HLA-DRB5 {}
RELN OPTN {}
RELN TNFRSF21 {}
DCTN1 GFAP {}
DCTN1 CAMK1G {}
DPP6 CLU {}
DPP6 APOC1 {}
CCNF NOTCH3 {}
CCNF MAP3K5 {}
CCNF IL1B {}
MAP3K5 IL1B {}
MAP3K5 VPS35 {}
IL1B VPS35 {}
EPHA1 INPP5D {}
EPHA1 PGRMC1 {}
INPP5D APOC1 {}
INPP5D IL6 {}
INPP5D NCSTN {}
INPP5D PGRMC1 {}
INPP5D BACE1 {}
PGRMC1 NCSTN {}
PGRMC1 BACE1 {}
APP WWOX {}
APP APOC1 {}
APP PINK1 {}
APP IGF1 {}
MAPT APOC1 {}
MAPT IL6 {}
MAPT TOMM40 {}
MAPT MAP2 {}
MAPT RPL23A {}
MAPT MAOB {}
APOC1 MAP2 {}
APOC1 TOMM40 {}
APOC1 FUS {}
APOC1 OPTN {}
APOC1 HNRNPA2B1 {}
APOC1 CRH {}
IL6 MAP2 {}
IL6 TOMM40 {}
IL6 FUS {}
TOMM40 BACE1 {}
TOMM40 FUS {}
CLU TF {}
TF RPL6 {}
BDNF HSPA9 {}
MATR3 OPTN {}
MATR3 BIN1 {}
MATR3 SNCA {}
OPTN WWOX {}
OPTN TNF {}
BIN1 HSPA1A {}
VCP HSPA9 {}
HSPA9 HSPA1A {}
HSPA9 FBP1 {}
HSPA9 HMOX1 {}
HSPA9 HTRA1 {}
HSPA9 ATXN2 {}
HSPA1A ATXN2 {}
IGF2 WWOX {}
IGF2 BAG5 {}
IGF2 DPYSL2 {}
IGF2 GDNF {}
IGF2 IGF1 {}
PPARG NOS3 {}
PPARG HLA-DRB5 {}
PPARG AMFR {}
GFAP CAMK1G {}
HLA-DRB5 TREM2 {}
HLA-DRB5 FUS {}
HLA-DRB5 HTRA1 {}
HLA-DRB5 TFAM {}
TNF GAK {}
TNFRSF21 CRH {}
GDNF WWOX {}
GDNF SOD1 {}
GDNF ENO1 {}
GDNF GAK {}
GDNF IGF1 {}
ENO1 IGF1 {}
IGF1 WWOX {}
IGF1 BAG5 {}
IGF1 SOD1 {}
IGF1 GAK {}
BACE1 NCSTN {}
A2M GAK {}
A2M NOS1 {}
A2M PON1 {}
A2M RPL14 {}
WWOX BAG5 {}
WWOX GAK {}
FBP1 SORL1 {}
HMOX1 HTRA1 {}
PSEN2 DPYSL2 {}
PON1 AMFR {}
SORL1 SOD1 {}
ERBB4 CD2AP {}
CD2AP SOD1 {}
SOD1 SOD2 {}
