RPL23A EWSR1 {}
GSK3B MAOB {}
GSK3B DPYSL2 {}
GSK3B RPS8 {}
GSK3B HLA-DRB5 {}
GSK3B INSR {}
GSK3B UNC13A {}
HNRNPA2B1 MAOB {}
HNRNPA2B1 DPYSL2 {}
HNRNPA2B1 RPS8 {}
DPYSL2 LRRK2 {}
DPYSL2 RPS8 {}
BAG5 IL1B {}
IL1B MTHFR {}
TBK1 ENO1 {}
CAMK1G HLA-DRB5 {}
CAMK1G ATXN2 {}
CAMK1G HMOX1 {}
HLA-DRB5 SIGMAR1 {}
HLA-DRB5 TFAM {}
ATXN2 HNRNPA1 {}
TPI1 ENO1 {}
ENO1 HNRNPA1 {}
ENO1 SOD1 {}
ENO1 BCL2 {}
ENO1 PSEN1 {}
ENO1 TF {}
HNRNPA1 TF {}
VPS35 SIGMAR1 {}
VPS35 ERBB4 {}
VPS35 DCTN1 {}
VPS35 VCP {}
VPS35 HSPA1A {}
PTGS2 CD2AP {}
PTGS2 PPARG {}
PTGS2 PARK7 {}
INPP5D NOTCH3 {}
PPARG APOC1 {}
PPARG RPS8 {}
PPARG PSEN1 {}
PPARG PPARGC1A {}
TFAM PON1 {}
TALDO1 UNC13A {}
VCP SIGMAR1 {}
VCP DRD1 {}
VCP PARK2 {}
VCP PON1 {}
VCP HSPA1A {}
PARK2 HSPA1A {}
HSPA1A SIGMAR1 {}
HSPA1A ERBB4 {}
HSPA1A DRD1 {}
HSPA1A PON1 {}
LRRK2 HLA-DRA {}
DHCR24 PON1 {}
DHCR24 GSR {}
DHCR24 BDNF {}
DHCR24 IGF1 {}
SIGMAR1 ERBB4 {}
SIGMAR1 PON1 {}
SOD1 GPX1 {}
BCL2 PSEN1 {}
NQO1 DCTN1 {}
BDNF PARK7 {}
GPX1 DRD1 {}
UBQLN2 HSPA9 {}
HSPA9 DRD1 {}
DRD1 CRH {}
