PICALM PPARGC1A {}
GSTA4 CAMK1G {}
GSTA4 HMOX1 {}
GSTA4 NGF {}
HMOX1 CAMK1G {}
HMOX1 NGF {}
TNF BDNF {}
TNF PSEN2 {}
TNF IGF1R {}
TNF PON1 {}
DNMT1 PSEN2 {}
DNMT1 IGF2 {}
DNMT1 GSR {}
DNMT1 HLA-DRB5 {}
DNMT1 PPARG {}
DNMT1 TP53 {}
PSEN2 HLA-DRB5 {}
PSEN2 GSR {}
PSEN2 DNM1L {}
PSEN2 BIN1 {}
PSEN2 HTRA1 {}
PSEN2 BAG5 {}
IGF2 HLA-DRB5 {}
IGF2 GSR {}
IGF2 DNM1L {}
GSR NGF {}
GSR DNM1L {}
EPHA4 PINK1 {}
PINK1 EWSR1 {}
TYROBP HFE {}
NOTCH3 BIN1 {}
NOTCH3 IL6 {}
NOTCH3 GSK3B {}
BIN1 BDNF {}
BIN1 AMFR {}
IL6 MAP2 {}
MAOB HFE {}
HFE MAP2 {}
HFE DPP6 {}
HFE LEP {}
HFE NQO1 {}
HFE ERBB4 {}
MAP2 ERBB4 {}
ATXN2 BDNF {}
ATXN2 ATP5A1 {}
ATXN2 CHMP2B {}
ATXN2 HNRNPA2B1 {}
ATXN2 PON1 {}
HNRNPA1 RPL23A {}
HNRNPA1 SETX {}
HNRNPA1 IGF1 {}
CCNF VCP {}
SETX GPX1 {}
SETX DNM1L {}
SETX NQO1 {}
SETX EIF2S1 {}
AMFR ENO2 {}
IL1B BAG5 {}
HNRNPA2B1 BDNF {}
HNRNPA2B1 APP {}
HNRNPA2B1 ESR1 {}
HNRNPA2B1 ENO2 {}
HNRNPA2B1 PON1 {}
ESR1 PON1 {}
PON1 BDNF {}
PON1 ATP5A1 {}
PON1 APP {}
PON1 ENO2 {}
NGF CAMK1G {}
SNCA ENO2 {}
SNCA TNFRSF21 {}
SNCA HLA-DRA {}
SNCA DRD1 {}
BDNF ATP5A1 {}
BDNF ENO2 {}
DPP6 INSR {}
LEP NQO1 {}
TREM2 CHMP2B {}
HLA-DRA IGF1 {}
INSR APP {}
HSPA1A RPL6 {}
RPL6 APP {}
APP PSEN1 {}
