SORL1 MAPT {}
UBQLN2 GFAP {}
UBQLN2 TFAM {}
UBQLN2 DPYSL2 {}
F2 IGF1R {}
SIGMAR1 APP {}
VCP PON1 {}
VCP EWSR1 {}
VCP HNRNPA1 {}
VCP IGF1R {}
VCP MTHFR {}
HNRNPA1 MTHFR {}
MTHFR PON1 {}
MTHFR LEP {}
MTHFR EWSR1 {}
MTHFR IGF1R {}
LRRK2 SETX {}
NOTCH3 IGF1R {}
NOTCH3 ENO1 {}
NOTCH3 PPARG {}
NOTCH3 HSPA9 {}
PON1 LEP {}
PON1 IGF1R {}
RPL6 GPX1 {}
MAP2 TFAM {}
BAG5 PARK2 {}
PPARG CALM1 {}
GPX1 EWSR1 {}
IL6 PICALM {}
PICALM EWSR1 {}
EWSR1 EPHA1 {}
