PARK7 DRD1 {}
HLA-DRA HSPA1A {}
BAX GSTA4 {}
BAX SQSTM1 {}
BAX IGF1R {}
BAX TBK1 {}
BAX CHMP2B {}
BAX BACE1 {}
BAX MAP2 {}
BAX HLA-DRB5 {}
MAP2 HLA-DRB5 {}
MAP2 BIN1 {}
MAP2 RPS8 {}
MAP2 BACE1 {}
BACE1 HLA-DRB5 {}
HLA-DRB5 CALM1 {}
HLA-DRB5 SOD1 {}
HLA-DRB5 HSPA1A {}
HLA-DRB5 NOTCH3 {}
HLA-DRB5 GSTA4 {}
HLA-DRB5 IGF2 {}
HLA-DRB5 GSTM1 {}
HLA-DRB5 TBK1 {}
HLA-DRB5 IL6 {}
HLA-DRB5 DPP6 {}
FUS GDNF {}
GDNF CDK5 {}
GDNF NCSTN {}
ATP5A1 TYROBP {}
ERBB4 TFAM {}
ERBB4 HNRNPA2B1 {}
ERBB4 ESR1 {}
ERBB4 VCP {}
TFAM GAK {}
HNRNPA2B1 CDK5 {}
ESR1 APOE {}
VCP LEP {}
VCP INPP5D {}
VCP TREM2 {}
GSTA4 MATR3 {}
SQSTM1 IGF2 {}
SQSTM1 PARK2 {}
IGF1R INS {}
IGF1R MAPT {}
CHMP2B EPHA1 {}
CHMP2B IL6 {}
CDK5 UNC13A {}
CDK5 DCTN1 {}
CDK5 NQO1 {}
DCTN1 NQO1 {}
DCTN1 NCSTN {}
NQO1 NCSTN {}
RPL6 TOMM40 {}
RPL6 PSEN2 {}
TOMM40 IL6 {}
TOMM40 NOTCH3 {}
TOMM40 ENO1 {}
TOMM40 PSEN2 {}
TOMM40 SIGMAR1 {}
PSEN2 ENO1 {}
PSEN2 SIGMAR1 {}
HSPA1A BIN1 {}
HSPA1A IL6 {}
HSPA1A AMFR {}
HSPA1A GPX1 {}
CALM1 IL6 {}
CALM1 NOTCH3 {}
CALM1 SOD1 {}
CALM1 PSEN1 {}
CALM1 HTRA1 {}
CALM1 GAK {}
IL6 PSEN1 {}
IL6 SOD1 {}
IL6 GSTM1 {}
IL6 IGF2 {}
IL6 TNF {}
IL6 GAPDHS {}
NOTCH3 PSEN1 {}
NOTCH3 SOD1 {}
NOTCH3 GSTM1 {}
SOD1 SIGMAR1 {}
SOD1 GSTM1 {}
EPHA1 ATXN2 {}
ATXN2 SORL1 {}
DHCR24 BDNF {}
CCNF IGF2 {}
CCNF IGF1 {}
CCNF RELN {}
IGF2 BIN1 {}
IGF2 BCL2 {}
IGF1 VAPB {}
OPTN BDNF {}
BDNF VAPB {}
BDNF IGF2R {}
BDNF PICALM {}
BDNF RPL14 {}
BDNF UBQLN2 {}
VAPB UBQLN2 {}
LRRK2 BIN1 {}
LRRK2 NGF {}
LRRK2 SETX {}
LRRK2 VPS35 {}
LRRK2 GPX1 {}
F2 PPARGC1A {}
F2 MATR3 {}
F2 MTHFR {}
INS MAPT {}
MATR3 MAOB {}
MATR3 GSTM1 {}
MATR3 RPL14 {}
MATR3 PTGS2 {}
BCL2 A2M {}
PARK2 GAPDHS {}
VPS35 BIN1 {}
VPS35 DNM1L {}
VPS35 CRH {}
VPS35 A2M {}
VPS35 GPX1 {}
CRH GPX1 {}
GPX1 BIN1 {}
GPX1 NGF {}
GPX1 DNM1L {}
GPX1 A2M {}
SIGMAR1 ENO1 {}
EWSR1 A2M {}
EWSR1 GFAP {}
EWSR1 C9orf72 {}
EWSR1 EIF2S1 {}
BIN1 NGF {}
BIN1 A2M {}
IGF2R DPYSL2 {}
PICALM RPL14 {}
FBP1 SETX {}
C9orf72 MTHFR {}
DPYSL2 DNM1L {}
TREM2 APOE {}
APOE DNM1L {}
DNM1L EPHA4 {}
