IGF2 HMOX1 {}
VPS35 PGRMC1 {}
VPS35 UBQLN2 {}
VPS35 NOS3 {}
VPS35 APOC1 {}
ADAM10 CLU {}
ADAM10 EPHA1 {}
ADAM10 PON1 {}
ADAM10 FUS {}
ADAM10 TP53 {}
ADAM10 PSEN2 {}
CLU SQSTM1 {}
CLU PGRMC1 {}
CLU RELN {}
CLU CRH {}
CLU ESR1 {}
CLU PON1 {}
CLU FUS {}
CLU TP53 {}
FUS TP53 {}
FUS HLA-DRB5 {}
FUS CAMK1G {}
FUS PON1 {}
PON1 TP53 {}
TP53 RPL23A {}
TP53 BIN1 {}
TP53 PSEN2 {}
TP53 SOD1 {}
TP53 SQSTM1 {}
TP53 IGF1 {}
TP53 INPP5D {}
TP53 CRH {}
TP53 IDE {}
TP53 ENO2 {}
MAP2 NGF {}
NGF EWSR1 {}
NGF DNMT1 {}
DNM1L DRD1 {}
BDNF NOTCH3 {}
BDNF CHMP2B {}
BDNF CALM1 {}
BDNF APOE {}
NOTCH3 RPS8 {}
CHMP2B EWSR1 {}
CALM1 C9orf72 {}
APOE PSEN1 {}
APOE VCP {}
APOE BACE1 {}
SQSTM1 EPHA4 {}
PGRMC1 IGF1 {}
PGRMC1 RPL14 {}
RELN ERBB4 {}
RELN UNC13A {}
ESR1 PPARGC1A {}
ESR1 IDE {}
EWSR1 GAK {}
EWSR1 IL1B {}
EWSR1 TOMM40 {}
IL1B TOMM40 {}
IL1B DNMT1 {}
TOMM40 DNMT1 {}
ENO1 ATXN2 {}
ENO1 APP {}
ATXN2 IDE {}
ATXN2 SOD1 {}
ATXN2 TALDO1 {}
ATXN2 APP {}
ATXN2 IGF2R {}
APP TALDO1 {}
APP IGF2R {}
PSEN2 HLA-DRB5 {}
PSEN2 IDE {}
PSEN2 SNCA {}
PSEN2 EIF2S1 {}
RPL23A IDE {}
RPL23A SOD1 {}
RPL23A BIN1 {}
RPL23A TNF {}
RPL23A GDNF {}
RPL23A RPS8 {}
IDE TNF {}
IDE BIN1 {}
IDE INPP5D {}
IDE IGF1 {}
IDE HTRA1 {}
IDE WWOX {}
SOD1 TNF {}
SOD1 BIN1 {}
SOD1 INPP5D {}
BIN1 IGF2R {}
BIN1 INPP5D {}
PPARGC1A GFAP {}
GFAP CASP3 {}
PARK2 TFAM {}
PPARG IGF1 {}
PPARG CDK5 {}
PPARG VAPB {}
IGF1 HLA-DRB5 {}
IGF1 DPP6 {}
CDK5 GSTA4 {}
DPYSL2 TFAM {}
TFAM GSTA4 {}
TFAM HFE {}
TFAM BCL2 {}
TFAM GPX1 {}
TFAM PINK1 {}
GSTA4 PINK1 {}
OPTN HLA-DRB5 {}
OPTN INS {}
OPTN MAPT {}
OPTN SIGMAR1 {}
OPTN EIF2S1 {}
TARDBP DHCR24 {}
TARDBP EPHA4 {}
TARDBP NOS1 {}
ERBB4 UNC13A {}
EPHA4 TREM2 {}
EPHA4 INPP5D {}
EPHA4 GPX1 {}
EPHA4 A2M {}
DPP6 BAX {}
RPL14 WWOX {}
SIGMAR1 HLA-DRB5 {}
SIGMAR1 TBK1 {}
SIGMAR1 PICALM {}
SIGMAR1 BAX {}
SIGMAR1 EIF2S1 {}
PICALM EIF2S1 {}
EIF2S1 HLA-DRB5 {}
EIF2S1 INS {}
EIF2S1 TBK1 {}
EIF2S1 BAX {}
IGF2R TALDO1 {}
HNRNPA1 BAX {}
HNRNPA1 NOS3 {}
HNRNPA1 UBQLN2 {}
HNRNPA1 APOC1 {}
HLA-DRB5 INS {}
HLA-DRB5 BAX {}
HFE ATP5A1 {}
BCL2 GPX1 {}
SORL1 MAPT {}
UBQLN2 NOS1 {}
ATP5A1 TBK1 {}
BACE1 C9orf72 {}
C9orf72 TBK1 {}
TBK1 INSR {}
