CDK5 APP {}
SORL1 IL6 {}
PTGS2 SETX {}
PTGS2 MAPT {}
A2M WWOX {}
A2M ENO1 {}
VAPB GSTA4 {}
VAPB PON1 {}
GSK3B ERBB4 {}
GSK3B HLA-DRA {}
GSK3B RPS8 {}
HLA-DRA RPS8 {}
HLA-DRA APOC1 {}
RPS8 APOC1 {}
GFAP GSTM1 {}
GFAP RELN {}
GSTM1 PON1 {}
GSTM1 MATR3 {}
GSTM1 NOS1 {}
GSTM1 RELN {}
GSTM1 UBQLN2 {}
RELN NOS1 {}
RELN UBQLN2 {}
ADAM10 DNM1L {}
ADAM10 PON1 {}
ADAM10 BACE1 {}
ADAM10 PARK7 {}
ATXN2 PON1 {}
ATXN2 MATR3 {}
ATXN2 C9orf72 {}
ATXN2 HNRNPA1 {}
ATXN2 RPL23A {}
ATXN2 MTHFR {}
PON1 HNRNPA1 {}
PON1 C9orf72 {}
PON1 TARDBP {}
PON1 SETX {}
PON1 SIGMAR1 {}
PON1 SOD2 {}
MATR3 HNRNPA1 {}
MATR3 C9orf72 {}
MATR3 TARDBP {}
C9orf72 UBQLN2 {}
C9orf72 TARDBP {}
GSTA4 ATP5A1 {}
ATP5A1 CRH {}
DHCR24 EWSR1 {}
TOMM40 SETX {}
TOMM40 PICALM {}
TOMM40 DCTN1 {}
SETX DNM1L {}
SETX IGF1R {}
PICALM GSR {}
IGF2R EWSR1 {}
EWSR1 GSR {}
EWSR1 NCSTN {}
EWSR1 CHMP2B {}
EWSR1 TF {}
EWSR1 TYROBP {}
GSR TYROBP {}
TNF DNM1L {}
TNF ENO2 {}
TNF CALM1 {}
TNF LRRK2 {}
TNF PARK7 {}
MAP2 HMOX1 {}
MAP2 IL6 {}
MAP2 TPI1 {}
WWOX ENO1 {}
IL6 MAP3K5 {}
IL6 TARDBP {}
IL6 TF {}
IL6 IGF1 {}
IGF1R VPS35 {}
MAPT SOD2 {}
LRRK2 DNM1L {}
LRRK2 IL1B {}
LRRK2 PARK2 {}
LRRK2 VPS35 {}
LRRK2 PARK7 {}
PARK2 PARK7 {}
PARK7 DNM1L {}
PARK7 ENO2 {}
PARK7 IL1B {}
PARK7 VPS35 {}
UBQLN2 NOS1 {}
IDE VPS35 {}
IDE LEP {}
IDE SQSTM1 {}
IDE CD2AP {}
DNM1L ENO2 {}
DNM1L VPS35 {}
NCSTN BDNF {}
CHMP2B TF {}
HSPA9 CALM1 {}
SQSTM1 TPI1 {}
BDNF IL1B {}
UNC13A CASP3 {}
CASP3 IL1B {}
IL1B NQO1 {}
