TBK1 SOD1 {}
NQO1 SIGMAR1 {}
NQO1 PGRMC1 {}
NQO1 IL1B {}
NQO1 BAG5 {}
IL1B BAG5 {}
IL1B TFAM {}
IL1B GAK {}
IL1B PGRMC1 {}
PGRMC1 BAG5 {}
BAG5 PINK1 {}
BAG5 UNC13A {}
BAG5 TOMM40 {}
BAG5 FBP1 {}
BAG5 HLA-DRB5 {}
BAG5 HLA-DRA {}
BAG5 TP53 {}
BAG5 OPTN {}
BAG5 UBQLN2 {}
BAG5 MTHFR {}
SETX CLU {}
CLU DNMT1 {}
CLU EIF2S1 {}
CDK5 GPX1 {}
DPYSL2 GFAP {}
DPYSL2 INPP5D {}
DPYSL2 RELN {}
DPYSL2 ERBB4 {}
GFAP NOTCH3 {}
INPP5D DNMT1 {}
RELN BIN1 {}
ERBB4 MAOB {}
ERBB4 APP {}
ERBB4 A2M {}
HLA-DRB5 RPL14 {}
TALDO1 HLA-DRA {}
TALDO1 NOS1 {}
IL6 NGF {}
IL6 CAMK1G {}
SIGMAR1 C9orf72 {}
SIGMAR1 UBQLN2 {}
DNMT1 TPI1 {}
DNMT1 RPS8 {}
DNMT1 BCL2 {}
RPS8 BCL2 {}
RPS8 EIF2S1 {}
BCL2 EIF2S1 {}
ESR1 VAPB {}
ESR1 HNRNPA2B1 {}
VAPB UBQLN2 {}
VAPB FBP1 {}
VAPB PARK2 {}
VAPB HNRNPA2B1 {}
VAPB VCP {}
HNRNPA2B1 PARK2 {}
HNRNPA2B1 VCP {}
TOMM40 TFAM {}
TOMM40 UBQLN2 {}
TOMM40 CALM1 {}
TOMM40 EWSR1 {}
PINK1 UBQLN2 {}
PINK1 FBP1 {}
PINK1 UNC13A {}
PINK1 CCNF {}
PINK1 EPHA4 {}
PINK1 NOTCH3 {}
UBQLN2 CCNF {}
UBQLN2 UNC13A {}
UBQLN2 TP53 {}
UBQLN2 HLA-DRA {}
UBQLN2 PICALM {}
UBQLN2 DCTN1 {}
FBP1 CCNF {}
FBP1 UNC13A {}
FBP1 TP53 {}
UNC13A VCP {}
UNC13A TP53 {}
C9orf72 IGF1R {}
IGF1R ADAM10 {}
GSK3B SQSTM1 {}
CD2AP HLA-DRA {}
CD2AP FUS {}
CD2AP IDE {}
HLA-DRA TFAM {}
HLA-DRA LRRK2 {}
FUS NOS3 {}
DNM1L SQSTM1 {}
SQSTM1 NOS3 {}
SQSTM1 APOC1 {}
SQSTM1 GDNF {}
SQSTM1 PPARG {}
SQSTM1 RPL6 {}
NOS3 RPL6 {}
DRD1 TFAM {}
DRD1 TNF {}
DRD1 TNFRSF21 {}
DRD1 SNCA {}
DRD1 EWSR1 {}
CASP3 ATP5A1 {}
CASP3 RPL14 {}
CASP3 IGF1 {}
NGF CAMK1G {}
RPL14 TF {}
RPL14 TP53 {}
RPL14 PPARG {}
RPL14 IGF2 {}
LRRK2 PSEN2 {}
NOS1 DCTN1 {}
SNCA TFAM {}
SNCA BAX {}
SNCA INS {}
SNCA PSEN2 {}
SNCA EWSR1 {}
INS EWSR1 {}
EWSR1 TFAM {}
EWSR1 TNF {}
EWSR1 BAX {}
EWSR1 PSEN2 {}
VCP PARK2 {}
GSR PSEN2 {}
GSR GAPDHS {}
GSR HFE {}
GSR EPHA1 {}
TFAM TNF {}
TFAM PSEN2 {}
APOC1 HSPA9 {}
GDNF PPARG {}
TYROBP TNFRSF21 {}
HFE IGF1 {}
HSPA9 BAX {}
A2M BIN1 {}
BIN1 BAX {}
BAX HMOX1 {}
