TYROBP HTRA1 {}
RELN INSR {}
ENO1 EPHA1 {}
APP TBK1 {}
APP DPYSL2 {}
APP F2 {}
PARK7 EIF2S1 {}
CHMP2B SOD1 {}
CHMP2B DCTN1 {}
DPP6 PICALM {}
DPP6 VPS35 {}
ADAM10 NQO1 {}
ADAM10 PARK2 {}
INSR ESR1 {}
INSR SIGMAR1 {}
INSR IGF2R {}
SIGMAR1 IGF2R {}
SIGMAR1 SETX {}
IGF2R SETX {}
MAP2 GAK {}
MAP2 CCNF {}
GAK PARK2 {}
GAK FUS {}
GAK TREM2 {}
GAK CCNF {}
GAK TF {}
CCNF TREM2 {}
CCNF TF {}
GSR CDK5 {}
GSR PARK2 {}
GSR GFAP {}
GSR APOC1 {}
GPX1 PARK2 {}
GPX1 FUS {}
GPX1 CD2AP {}
GPX1 PTGS2 {}
GPX1 DHCR24 {}
GPX1 BAG5 {}
PARK2 PTGS2 {}
PARK2 CD2AP {}
PARK2 WWOX {}
PARK2 SOD1 {}
PARK2 PINK1 {}
PARK2 PSEN1 {}
FUS PTGS2 {}
FUS CD2AP {}
FUS WWOX {}
CD2AP TF {}
CD2AP WWOX {}
NQO1 HNRNPA1 {}
HNRNPA1 CALM1 {}
A2M DNMT1 {}
MAP3K5 SOD1 {}
MAP3K5 IGF2 {}
MAP3K5 UNC13A {}
SOD1 CDK5 {}
SOD1 HNRNPA2B1 {}
IGF2 OPTN {}
TFAM DNMT1 {}
DNMT1 OPTN {}
DNMT1 TARDBP {}
DNMT1 HSPA1A {}
DNMT1 GSTA4 {}
DNMT1 IDE {}
OPTN IDE {}
PGRMC1 CDK5 {}
PGRMC1 PPARGC1A {}
PGRMC1 EPHA4 {}
PGRMC1 TNF {}
PGRMC1 APOC1 {}
IL6 TPI1 {}
IL6 EIF2S1 {}
IL6 GAPDHS {}
PICALM VPS35 {}
EIF2S1 MAOB {}
EIF2S1 WWOX {}
EIF2S1 GSTA4 {}
EIF2S1 EWSR1 {}
HNRNPA2B1 SORL1 {}
DCTN1 PSEN1 {}
TNF CDK5 {}
TNF ATXN2 {}
TNF AMFR {}
TNF SORL1 {}
TNF APOC1 {}
AMFR APOC1 {}
APOC1 CDK5 {}
APOC1 PPARGC1A {}
APOC1 ATXN2 {}
APOC1 SORL1 {}
TF TREM2 {}
TNFRSF21 SORL1 {}
TNFRSF21 MAPT {}
TNFRSF21 INS {}
TNFRSF21 GDNF {}
CDK5 PPARGC1A {}
CDK5 SORL1 {}
TARDBP MATR3 {}
HSPA1A GSTA4 {}
DRD1 EPHA4 {}
INS GAPDHS {}
MATR3 ATXN2 {}
F2 EPHA1 {}
EPHA1 ATXN2 {}
ATXN2 HGF {}
