DPP6 SQSTM1 {}
MATR3 GFAP {}
MATR3 ESR1 {}
MATR3 NOS3 {}
MATR3 IDE {}
MATR3 TYROBP {}
MATR3 F2 {}
CCNF GFAP {}
CCNF ESR1 {}
CCNF NOS3 {}
ESR1 VPS35 {}
ESR1 NOS3 {}
UBQLN2 PTGS2 {}
PTGS2 VCP {}
SETX PICALM {}
TALDO1 IDE {}
TALDO1 PINK1 {}
TALDO1 INSR {}
IDE HSPA9 {}
IDE PPARG {}
PINK1 MTHFR {}
OPTN PICALM {}
PICALM MTHFR {}
PICALM TARDBP {}
PICALM IL1B {}
PICALM RELN {}
PICALM IGF2 {}
MTHFR IGF2 {}
GSTA4 HSPA9 {}
GSTA4 TF {}
GSTA4 HSPA1A {}
GSTA4 BDNF {}
GSTA4 BIN1 {}
AMFR CASP3 {}
AMFR PON1 {}
AMFR ATP5A1 {}
APOC1 GAK {}
PON1 HGF {}
PON1 NOS3 {}
PON1 RELN {}
PON1 SNCA {}
PPARG UNC13A {}
NCSTN F2 {}
BDNF HSPA9 {}
BDNF ENO1 {}
BDNF ENO2 {}
BDNF UNC13A {}
BDNF BIN1 {}
ENO2 BIN1 {}
BIN1 HSPA9 {}
BIN1 TF {}
BIN1 ENO1 {}
BIN1 UNC13A {}
VPS35 FUS {}
PARK2 UNC13A {}
PARK2 APOE {}
PARK2 DNMT1 {}
PARK2 EWSR1 {}
HSPA9 TF {}
HSPA9 UNC13A {}
TARDBP CAMK1G {}
IL1B RELN {}
TOMM40 HSPA1A {}
DNMT1 ATP5A1 {}
CAMK1G ENO1 {}
NGF DNM1L {}
DNM1L ENO1 {}
ENO1 GAPDHS {}
