TNFRSF21 IGF1 {}
APOC1 VAPB {}
APOC1 GSK3B {}
APOC1 HSPA9 {}
NCSTN INSR {}
DNMT1 DCTN1 {}
DNMT1 HSPA1A {}
TOMM40 MAP2 {}
TOMM40 CASP3 {}
TP53 GAPDHS {}
TP53 CRH {}
ATXN2 A2M {}
ATXN2 PARK7 {}
ATXN2 RPL14 {}
PARK7 RPL14 {}
PARK7 HGF {}
RPL14 HGF {}
IGF2R DHCR24 {}
IGF2R PPARGC1A {}
DHCR24 CRH {}
DHCR24 MATR3 {}
DHCR24 HNRNPA1 {}
DHCR24 PPARGC1A {}
DHCR24 SOD2 {}
PPARGC1A HNRNPA1 {}
PPARGC1A SOD2 {}
NOS1 FBP1 {}
NOS1 CRH {}
NOS1 CCNF {}
NOS1 SNCA {}
ENO2 CRH {}
ENO2 MATR3 {}
ENO2 F2 {}
ENO2 NOS3 {}
ENO2 VCP {}
ENO2 BDNF {}
CRH NOS3 {}
CRH F2 {}
CRH HLA-DRB5 {}
CRH DCTN1 {}
CRH PPARG {}
CRH INS {}
MATR3 NOS3 {}
MATR3 F2 {}
MATR3 HLA-DRB5 {}
F2 SOD2 {}
F2 HLA-DRB5 {}
GAPDHS TREM2 {}
TREM2 PON1 {}
UNC13A ESR1 {}
AMFR DCTN1 {}
AMFR EWSR1 {}
AMFR SOD1 {}
DCTN1 FBP1 {}
DCTN1 SORL1 {}
EWSR1 PSEN2 {}
RPS8 ESR1 {}
ESR1 PSEN2 {}
ESR1 IDE {}
ESR1 HNRNPA2B1 {}
ESR1 HTRA1 {}
ESR1 ATP5A1 {}
PSEN2 ATP5A1 {}
IGF1R FBP1 {}
IGF1R TARDBP {}
IGF1R DPP6 {}
IGF1R TBK1 {}
IGF1R SNCA {}
UBQLN2 CLU {}
UBQLN2 INSR {}
UBQLN2 TNF {}
MAP2 CASP3 {}
INSR EIF2S1 {}
INSR HLA-DRB5 {}
INSR HTRA1 {}
INSR IL6 {}
SORL1 PGRMC1 {}
HSPA1A INS {}
TBK1 FBP1 {}
TBK1 CAMK1G {}
TBK1 CALM1 {}
TBK1 PGRMC1 {}
TBK1 SNCA {}
CALM1 SNCA {}
SNCA FBP1 {}
SNCA TARDBP {}
SNCA CAMK1G {}
SNCA PGRMC1 {}
SOD2 HNRNPA1 {}
FUS PGRMC1 {}
FUS GSR {}
FUS BIN1 {}
FUS VPS35 {}
FBP1 TARDBP {}
FBP1 PGRMC1 {}
IDE MTHFR {}
HNRNPA2B1 HTRA1 {}
PSEN1 DPP6 {}
BIN1 TNF {}
MTHFR CAMK1G {}
HSPA9 WWOX {}
WWOX CAMK1G {}
CAMK1G IL1B {}
