BAX PON1 {}
DPP6 VCP {}
ATXN2 DNM1L {}
ENO2 CD2AP {}
AMFR GDNF {}
AMFR NOS3 {}
AMFR OPTN {}
AMFR GSR {}
AMFR HFE {}
AMFR EPHA4 {}
AMFR CCNF {}
AMFR SOD1 {}
VCP NOS1 {}
BCL2 APOE {}
BCL2 NOS1 {}
BCL2 NOS3 {}
BCL2 HNRNPA1 {}
BCL2 TBK1 {}
BCL2 INPP5D {}
APOE NOS3 {}
APOE NOS1 {}
APOE INPP5D {}
APOE CD2AP {}
APOE HNRNPA1 {}
APOE TBK1 {}
APOE PICALM {}
APOE TALDO1 {}
APOE SIGMAR1 {}
APOE PARK2 {}
NOS1 NOS3 {}
NOS1 UBQLN2 {}
NOS1 TBK1 {}
NOS1 HNRNPA1 {}
NOS1 INPP5D {}
NOS1 CDK5 {}
NOS3 ESR1 {}
NOS3 PICALM {}
NOS3 F2 {}
NOS3 APP {}
NOS3 CAMK1G {}
NOS3 TBK1 {}
NOS3 HNRNPA1 {}
NOS3 INPP5D {}
HNRNPA1 INPP5D {}
HNRNPA1 NQO1 {}
HNRNPA1 ENO1 {}
HNRNPA1 TBK1 {}
TBK1 INPP5D {}
INPP5D PTGS2 {}
INPP5D IGF1R {}
INPP5D CDK5 {}
INPP5D VAPB {}
INPP5D ESR1 {}
INPP5D WWOX {}
INPP5D BAG5 {}
INPP5D APP {}
INPP5D RPS8 {}
INPP5D VPS35 {}
SOD2 GSK3B {}
GSK3B INSR {}
GSK3B EPHA1 {}
DNM1L DCTN1 {}
GAPDHS A2M {}
GAPDHS SORL1 {}
GAPDHS DNMT1 {}
GAPDHS BDNF {}
A2M PINK1 {}
SORL1 INSR {}
DNMT1 RELN {}
BDNF HSPA1A {}
BDNF IGF2 {}
BDNF DHCR24 {}
ESR1 NOTCH3 {}
PICALM WWOX {}
PICALM CALM1 {}
F2 IL6 {}
F2 FUS {}
CAMK1G HNRNPA2B1 {}
CAMK1G RPS8 {}
INSR IGF1 {}
INSR NGF {}
INSR TYROBP {}
NGF TYROBP {}
NGF EPHA1 {}
TYROBP EPHA1 {}
C9orf72 FBP1 {}
C9orf72 GAK {}
FBP1 RPS8 {}
FBP1 VAPB {}
FBP1 IGF2R {}
FBP1 GAK {}
FBP1 HLA-DRB5 {}
GAK IGF2R {}
GAK HLA-DRB5 {}
CDK5 NQO1 {}
CDK5 RPS8 {}
CDK5 HGF {}
CDK5 HTRA1 {}
PTGS2 RPS8 {}
PTGS2 VAPB {}
PTGS2 IGF1R {}
PTGS2 PPARG {}
PTGS2 GPX1 {}
PTGS2 PINK1 {}
RPS8 PPARG {}
RPS8 IGF1R {}
RPS8 BAG5 {}
RPS8 WWOX {}
RPS8 PSEN1 {}
RPS8 TNFRSF21 {}
VAPB PPARG {}
VAPB IGF1R {}
VAPB BAG5 {}
IGF1R HLA-DRB5 {}
IGF1R BAG5 {}
HNRNPA2B1 TREM2 {}
TREM2 CLU {}
DPYSL2 HFE {}
PSEN2 WWOX {}
PSEN2 PPARGC1A {}
PSEN2 TFAM {}
WWOX NQO1 {}
WWOX TPI1 {}
PPARGC1A GSR {}
OPTN HFE {}
HFE GSR {}
HFE ATP5A1 {}
HFE CCNF {}
HFE BIN1 {}
HFE EPHA4 {}
GSR EPHA4 {}
MAP3K5 NQO1 {}
MAP3K5 EIF2S1 {}
MAP3K5 APOC1 {}
MAP3K5 ERBB4 {}
MAP3K5 HTRA1 {}
TOMM40 GFAP {}
TOMM40 NOTCH3 {}
TOMM40 RPL6 {}
IL6 FUS {}
NOTCH3 INS {}
NOTCH3 BAG5 {}
NOTCH3 BIN1 {}
NOTCH3 CRH {}
TPI1 PGRMC1 {}
CALM1 TNFRSF21 {}
ERBB4 NQO1 {}
ERBB4 NCSTN {}
ERBB4 RPL23A {}
ERBB4 PGRMC1 {}
ERBB4 HTRA1 {}
RPL23A HTRA1 {}
HTRA1 NQO1 {}
HTRA1 EIF2S1 {}
HTRA1 NCSTN {}
HTRA1 PGRMC1 {}
HLA-DRB5 IGF2R {}
CD2AP PGRMC1 {}
CD2AP SIGMAR1 {}
CD2AP TALDO1 {}
CD2AP PARK2 {}
NQO1 EIF2S1 {}
NQO1 PGRMC1 {}
ATP5A1 CASP3 {}
CCNF BIN1 {}
IDE APOC1 {}
TALDO1 RPL6 {}
CASP3 NCSTN {}
DHCR24 RELN {}
RELN NCSTN {}
NCSTN TNF {}
