VCP BIN1 {}
BACE1 CCNF {}
BACE1 SNCA {}
BACE1 GSTA4 {}
BACE1 DNMT1 {}
BACE1 EPHA4 {}
BACE1 DHCR24 {}
BACE1 NCSTN {}
PICALM HGF {}
HGF WWOX {}
HGF DCTN1 {}
F2 GDNF {}
TREM2 TNF {}
TREM2 HLA-DRA {}
TREM2 TPI1 {}
TREM2 DPYSL2 {}
TNF DNM1L {}
HLA-DRA WWOX {}
TPI1 CHMP2B {}
DPYSL2 SOD2 {}
DPYSL2 TP53 {}
DPYSL2 GSK3B {}
SNCA PON1 {}
TYROBP GSTA4 {}
TYROBP FBP1 {}
ERBB4 APOE {}
ERBB4 CRH {}
APOC1 HNRNPA1 {}
APOC1 DHCR24 {}
WWOX PSEN2 {}
WWOX RPL14 {}
WWOX PTGS2 {}
RPL14 PTGS2 {}
RPL14 DCTN1 {}
PTGS2 DCTN1 {}
CASP3 HTRA1 {}
CASP3 PINK1 {}
HTRA1 DHCR24 {}
HTRA1 CCNF {}
HTRA1 PARK7 {}
HTRA1 PINK1 {}
HTRA1 TF {}
PINK1 PARK7 {}
PINK1 TF {}
PGRMC1 UNC13A {}
PGRMC1 DHCR24 {}
PGRMC1 PARK2 {}
PGRMC1 CDK5 {}
HFE DHCR24 {}
HFE CCNF {}
HFE EPHA1 {}
HFE TFAM {}
HFE UBQLN2 {}
HFE DNM1L {}
DHCR24 TFAM {}
DHCR24 EPHA1 {}
DHCR24 DNMT1 {}
DHCR24 GSTA4 {}
DHCR24 TALDO1 {}
DHCR24 EIF2S1 {}
CCNF TFAM {}
CCNF EPHA1 {}
CCNF DNMT1 {}
EPHA1 TF {}
EPHA1 DNMT1 {}
HNRNPA1 C9orf72 {}
C9orf72 CAMK1G {}
LEP GFAP {}
SIGMAR1 GSTA4 {}
SIGMAR1 FUS {}
SIGMAR1 LRRK2 {}
GSTA4 UNC13A {}
GSTA4 VAPB {}
FUS TBK1 {}
CLU GFAP {}
GFAP TBK1 {}
GFAP INSR {}
GFAP SORL1 {}
GFAP SQSTM1 {}
GFAP INS {}
TBK1 INS {}
MATR3 UNC13A {}
MATR3 HSPA9 {}
MATR3 RELN {}
MATR3 NOS3 {}
MATR3 CDK5 {}
MAPT BCL2 {}
MAPT PON1 {}
MAPT GAPDHS {}
APOE CRH {}
PON1 GPX1 {}
PON1 DNMT1 {}
PON1 SQSTM1 {}
PON1 ATP5A1 {}
VAPB TNFRSF21 {}
FBP1 EIF2S1 {}
NOS3 UNC13A {}
NOS3 IGF2 {}
NOS3 GSR {}
NOS3 TNFRSF21 {}
NOS3 CDK5 {}
GSR CDK5 {}
CDK5 UNC13A {}
CDK5 HSPA9 {}
CDK5 IGF2 {}
CDK5 TNFRSF21 {}
TF PARK7 {}
NGF TNFRSF21 {}
NGF DPP6 {}
NGF HLA-DRB5 {}
NGF HSPA1A {}
UNC13A HSPA9 {}
UNC13A TNFRSF21 {}
INSR MAOB {}
SORL1 SQSTM1 {}
BAG5 RELN {}
HLA-DRB5 GAPDHS {}
MAOB IGF2 {}
GSK3B CHMP2B {}
CHMP2B IGF2 {}
IGF2 HMOX1 {}
