F2 BAG5 {}
TARDBP PON1 {}
TARDBP CAMK1G {}
TARDBP UNC13A {}
IL6 EWSR1 {}
GAK BACE1 {}
RPL6 EIF2S1 {}
RPL6 SOD1 {}
RPL6 EPHA1 {}
RPL6 EWSR1 {}
RPL6 LEP {}
EPHA1 LEP {}
LEP EIF2S1 {}
LEP HSPA9 {}
LEP SOD1 {}
LEP EWSR1 {}
VPS35 ENO2 {}
TYROBP EWSR1 {}
TYROBP GAPDHS {}
TYROBP INSR {}
TYROBP WWOX {}
EIF2S1 HSPA9 {}
EIF2S1 EWSR1 {}
LRRK2 DPP6 {}
PPARG CAMK1G {}
TFAM TOMM40 {}
INSR C9orf72 {}
DPP6 SOD1 {}
TALDO1 HSPA1A {}
HSPA1A SOD1 {}
SOD1 TREM2 {}
