INS SORL1 {}
A2M ENO2 {}
A2M VAPB {}
A2M SNCA {}
A2M ADAM10 {}
A2M MAOB {}
A2M MTHFR {}
A2M IL6 {}
HGF PINK1 {}
HGF WWOX {}
HGF SNCA {}
HGF VAPB {}
HGF HFE {}
HGF F2 {}
PINK1 GSTM1 {}
PINK1 ADAM10 {}
PINK1 HSPA1A {}
PINK1 LRRK2 {}
PINK1 ERBB4 {}
PINK1 SNCA {}
PINK1 VAPB {}
PINK1 HFE {}
VAPB HFE {}
VAPB DPYSL2 {}
VAPB SOD2 {}
VAPB SNCA {}
SNCA HFE {}
HFE PSEN2 {}
HFE TP53 {}
HFE F2 {}
HFE CALM1 {}
HFE GSTM1 {}
HFE DPP6 {}
HFE PPARGC1A {}
HFE LRRK2 {}
HFE PPARG {}
HFE TNFRSF21 {}
ESR1 TYROBP {}
TYROBP MATR3 {}
TYROBP EPHA4 {}
SIGMAR1 NOS1 {}
PGRMC1 CLU {}
PGRMC1 TREM2 {}
PGRMC1 CASP3 {}
PGRMC1 PSEN1 {}
CLU HSPA9 {}
TREM2 MATR3 {}
CASP3 RPS8 {}
PSEN1 TNF {}
PSEN1 RPL23A {}
PSEN1 MAP2 {}
GSTM1 EWSR1 {}
ADAM10 DPP6 {}
ADAM10 PICALM {}
HSPA1A DHCR24 {}
HSPA1A VCP {}
ERBB4 TARDBP {}
ERBB4 PPARG {}
MATR3 GFAP {}
MATR3 APOC1 {}
MATR3 FUS {}
APOC1 FUS {}
APOC1 EPHA4 {}
FUS EPHA4 {}
TBK1 AMFR {}
TBK1 PTGS2 {}
AMFR PPARG {}
AMFR CALM1 {}
AMFR HLA-DRB5 {}
AMFR PTGS2 {}
AMFR TPI1 {}
PTGS2 HLA-DRB5 {}
PTGS2 TPI1 {}
F2 DPYSL2 {}
F2 PPARG {}
F2 BAG5 {}
F2 MAPT {}
PSEN2 PPARG {}
PSEN2 CALM1 {}
PSEN2 TP53 {}
PSEN2 NQO1 {}
PSEN2 TF {}
PSEN2 HSPA9 {}
PPARG NQO1 {}
PPARG TP53 {}
PPARG PPARGC1A {}
PPARG DPP6 {}
PPARG GSR {}
PPARG EPHA1 {}
CALM1 NQO1 {}
CALM1 TP53 {}
CALM1 PPARGC1A {}
TP53 TPI1 {}
TP53 PPARGC1A {}
TARDBP INSR {}
INSR FBP1 {}
LEP CCNF {}
IL1B DPP6 {}
IL1B SOD1 {}
IL1B ATP5A1 {}
DPP6 DPYSL2 {}
DPP6 IGF1 {}
SOD1 SETX {}
NCSTN CCNF {}
CCNF SETX {}
CCNF VPS35 {}
CCNF CHMP2B {}
CCNF OPTN {}
CCNF GSK3B {}
SETX GSK3B {}
MAP3K5 DPYSL2 {}
MAP3K5 GPX1 {}
MAP3K5 EIF2S1 {}
MAP3K5 CDK5 {}
MAP3K5 MAPT {}
ENO1 PARK7 {}
ENO1 EWSR1 {}
ENO1 IGF1R {}
DHCR24 VCP {}
EWSR1 IDE {}
EWSR1 PPARGC1A {}
EWSR1 OPTN {}
EWSR1 DCTN1 {}
IGF1 HNRNPA2B1 {}
PICALM EPHA1 {}
CDK5 DPYSL2 {}
CDK5 HTRA1 {}
CDK5 RPL14 {}
CDK5 HNRNPA2B1 {}
CDK5 MAPT {}
RPL14 MAPT {}
MAPT DPYSL2 {}
MAPT GPX1 {}
MAPT HTRA1 {}
MAPT HNRNPA2B1 {}
TPI1 HLA-DRB5 {}
ENO2 HNRNPA2B1 {}
ENO2 MTHFR {}
ENO2 MAOB {}
ENO2 IL6 {}
DPYSL2 GPX1 {}
DPYSL2 HNRNPA2B1 {}
VPS35 BAX {}
CHMP2B OPTN {}
APOE EIF2S1 {}
MAOB IGF1R {}
BAX HTRA1 {}
MAP2 RPS8 {}
RPS8 HTRA1 {}
HTRA1 UNC13A {}
