GPX1 PPARG {}
FBP1 EIF2S1 {}
APP EIF2S1 {}
HLA-DRB5 LRRK2 {}
HLA-DRB5 C9orf72 {}
HLA-DRB5 HSPA1A {}
HLA-DRB5 HGF {}
HLA-DRB5 MAPT {}
VPS35 GAPDHS {}
VPS35 BAG5 {}
VPS35 BAX {}
MATR3 GSR {}
BAG5 PTGS2 {}
BAG5 SIGMAR1 {}
BAG5 SNCA {}
BAG5 TNF {}
BIN1 DNM1L {}
RPL14 DCTN1 {}
HGF LRRK2 {}
HGF F2 {}
HGF IL1B {}
HGF DNM1L {}
HGF MAPT {}
IL1B MAPT {}
MAPT LRRK2 {}
MAPT C9orf72 {}
MAPT F2 {}
MAPT DNM1L {}
IGF2 UNC13A {}
PPARGC1A DNM1L {}
PPARGC1A MAP2 {}
PPARGC1A IGF1 {}
PPARGC1A CLU {}
LRRK2 C9orf72 {}
LRRK2 DNM1L {}
NQO1 GSTA4 {}
LEP SNCA {}
TFAM HSPA1A {}
IGF1 BAX {}
GSTA4 F2 {}
GFAP DPP6 {}
DPP6 F2 {}
F2 HNRNPA1 {}
