CCNF TP53 {}
HSPA1A PGRMC1 {}
HSPA1A PTGS2 {}
HSPA1A RPL14 {}
HSPA1A CHMP2B {}
HSPA1A TALDO1 {}
HSPA1A NOS1 {}
HSPA1A ERBB4 {}
HSPA1A HMOX1 {}
HSPA1A CAMK1G {}
HSPA1A PON1 {}
BAG5 BAX {}
BAX GDNF {}
BAX TREM2 {}
BACE1 NCSTN {}
PARK7 F2 {}
PARK7 BCL2 {}
PARK7 GSK3B {}
PARK7 GSTM1 {}
F2 C9orf72 {}
BCL2 GDNF {}
GSK3B LRRK2 {}
GSTM1 GFAP {}
GSTM1 APOE {}
GSTM1 DCTN1 {}
TALDO1 WWOX {}
TOMM40 NOS1 {}
TOMM40 SOD2 {}
UNC13A PSEN2 {}
UNC13A FUS {}
GSTA4 IDE {}
GSTA4 CAMK1G {}
GDNF RPS8 {}
GDNF AMFR {}
GDNF VAPB {}
AMFR VAPB {}
AMFR TREM2 {}
VAPB TREM2 {}
GSR DRD1 {}
GSR TARDBP {}
DRD1 CAMK1G {}
DRD1 CHMP2B {}
DRD1 INSR {}
DRD1 TARDBP {}
DRD1 SOD1 {}
TARDBP INSR {}
TARDBP SOD1 {}
RPL14 LEP {}
RPL14 CAMK1G {}
RPL14 ENO2 {}
RPL14 NOTCH3 {}
PGRMC1 CAMK1G {}
PGRMC1 CHMP2B {}
PGRMC1 PTGS2 {}
PGRMC1 MAPT {}
PGRMC1 PPARGC1A {}
PGRMC1 C9orf72 {}
CAMK1G MAPT {}
CAMK1G PTGS2 {}
CAMK1G ERBB4 {}
CAMK1G NOS1 {}
CAMK1G PSEN1 {}
CAMK1G PICALM {}
CHMP2B MAPT {}
CHMP2B PTGS2 {}
CHMP2B ERBB4 {}
PTGS2 SOD1 {}
PTGS2 ERBB4 {}
IDE OPTN {}
OPTN EIF2S1 {}
APP VPS35 {}
IL1B NOS1 {}
IL1B TFAM {}
IL1B IGF2 {}
NOS1 LEP {}
NOS1 TYROBP {}
TFAM SORL1 {}
CLU VPS35 {}
VPS35 SORL1 {}
VPS35 NGF {}
VPS35 ATXN2 {}
VPS35 VCP {}
VPS35 IGF2R {}
SORL1 IGF2R {}
GAPDHS LEP {}
GAPDHS DPYSL2 {}
GAPDHS ADAM10 {}
GAPDHS ESR1 {}
GAPDHS NOTCH3 {}
FBP1 DNMT1 {}
FBP1 WWOX {}
FBP1 SNCA {}
PSEN2 FUS {}
WWOX MAOB {}
WWOX ERBB4 {}
WWOX VCP {}
WWOX A2M {}
TYROBP HLA-DRB5 {}
SOD2 PICALM {}
ESR1 LEP {}
ESR1 ATP5A1 {}
ESR1 IGF1 {}
ESR1 HLA-DRB5 {}
ESR1 NOTCH3 {}
IGF1 NOTCH3 {}
NOTCH3 LEP {}
NOTCH3 DPYSL2 {}
NOTCH3 ATP5A1 {}
NOTCH3 HLA-DRB5 {}
SOD1 INSR {}
TNFRSF21 HLA-DRB5 {}
TNFRSF21 RPL6 {}
TNFRSF21 PPARG {}
TNFRSF21 MTHFR {}
LEP DPYSL2 {}
LEP HLA-DRB5 {}
NGF IGF1R {}
ATXN2 VCP {}
TBK1 ADAM10 {}
PPARG SNCA {}
IGF1R ATP5A1 {}
DCTN1 LRRK2 {}
LRRK2 ATP5A1 {}
ATP5A1 HFE {}
