DPP6 TNFRSF21 {}
HNRNPA1 MTHFR {}
PPARGC1A TREM2 {}
PPARGC1A DPYSL2 {}
PPARGC1A VCP {}
PPARGC1A ERBB4 {}
TREM2 IGF1 {}
DPYSL2 IGF1R {}
VCP INSR {}
ERBB4 PSEN1 {}
ERBB4 PINK1 {}
ERBB4 HSPA1A {}
GPX1 LEP {}
NQO1 UNC13A {}
NQO1 IDE {}
SORL1 HLA-DRB5 {}
SORL1 APOC1 {}
APOE TBK1 {}
APOE NOS3 {}
IGF1R PTGS2 {}
IGF1R PGRMC1 {}
IGF1R BDNF {}
PGRMC1 BDNF {}
PGRMC1 APP {}
BDNF APP {}
TP53 VAPB {}
TP53 TF {}
VAPB NOS3 {}
VAPB BAG5 {}
VAPB FUS {}
VAPB TF {}
VAPB DCTN1 {}
TF FUS {}
TF DCTN1 {}
A2M INPP5D {}
A2M NOS3 {}
A2M GAK {}
A2M NOS1 {}
RPL23A NOS3 {}
RPL23A BAG5 {}
RPL23A PARK7 {}
RPL23A DRD1 {}
RPL23A CCNF {}
RPL23A IGF1 {}
NOS3 DRD1 {}
NOS3 PARK7 {}
NOS3 HTRA1 {}
NOS3 UNC13A {}
NOS3 HSPA9 {}
NOS3 SIGMAR1 {}
BAG5 DRD1 {}
BAG5 PARK7 {}
BAG5 HTRA1 {}
PARK7 DCTN1 {}
PARK7 HTRA1 {}
TBK1 CASP3 {}
CASP3 OPTN {}
GSTM1 GAPDHS {}
EPHA4 UNC13A {}
EPHA4 RELN {}
EPHA4 FBP1 {}
UNC13A INPP5D {}
UNC13A MAP3K5 {}
RELN ENO2 {}
MAOB GAPDHS {}
GAPDHS ENO2 {}
GAPDHS MAPT {}
GAPDHS DHCR24 {}
GAPDHS ESR1 {}
GAPDHS BCL2 {}
ENO2 BCL2 {}
ATP5A1 INPP5D {}
ATP5A1 IGF2R {}
ATP5A1 RPL6 {}
ATP5A1 EWSR1 {}
ATP5A1 NOS1 {}
NOTCH3 TYROBP {}
NOTCH3 LEP {}
NOTCH3 CRH {}
HLA-DRB5 APOC1 {}
LEP PON1 {}
LEP HTRA1 {}
LEP ESR1 {}
LEP IGF2 {}
MAP3K5 PARK2 {}
IDE SIGMAR1 {}
EWSR1 INPP5D {}
EWSR1 VPS35 {}
EWSR1 ENO1 {}
EWSR1 PARK2 {}
EWSR1 NOS1 {}
ENO1 NOS1 {}
NOS1 INPP5D {}
NOS1 IGF2R {}
NOS1 VPS35 {}
NOS1 PARK2 {}
DCTN1 FUS {}
F2 PARK2 {}
F2 HNRNPA2B1 {}
F2 TARDBP {}
F2 INS {}
INPP5D IGF2R {}
INPP5D PARK2 {}
MAPT AMFR {}
DHCR24 ESR1 {}
SETX RPL6 {}
TARDBP CRH {}
AMFR VPS35 {}
HSPA1A INSR {}
INSR VPS35 {}
VPS35 GSTA4 {}
