LEP NQO1 {}
TBK1 BCL2 {}
TBK1 HSPA1A {}
BCL2 HSPA1A {}
BCL2 PSEN1 {}
HSPA1A PSEN1 {}
UBQLN2 VPS35 {}
UBQLN2 GSK3B {}
VPS35 PINK1 {}
VPS35 IL6 {}
VPS35 DPP6 {}
VPS35 GSK3B {}
VPS35 RPL14 {}
GSK3B DPP6 {}
GSK3B RPL14 {}
IGF2R IGF1 {}
IGF2R PINK1 {}
IGF2R PPARG {}
IGF2R PTGS2 {}
CASP3 PINK1 {}
CASP3 IL6 {}
CASP3 PON1 {}
CASP3 VCP {}
CASP3 BDNF {}
CASP3 ESR1 {}
PINK1 VCP {}
PINK1 PON1 {}
PINK1 GDNF {}
PINK1 GAPDHS {}
PINK1 SOD1 {}
PINK1 IDE {}
IL6 VCP {}
IL6 PON1 {}
IL6 GDNF {}
PON1 RPL14 {}
PON1 GDNF {}
TALDO1 MAOB {}
MAOB HNRNPA2B1 {}
INSR SNCA {}
MAPT GAPDHS {}
MAPT EWSR1 {}
MAPT GSR {}
GAPDHS IGF1 {}
GAPDHS ATXN2 {}
EWSR1 TFAM {}
DNMT1 SNCA {}
SNCA TFAM {}
SNCA AMFR {}
SNCA HNRNPA1 {}
SNCA DCTN1 {}
SNCA MAP3K5 {}
TFAM MAP3K5 {}
ADAM10 IGF1 {}
ADAM10 GSTA4 {}
ADAM10 MATR3 {}
ADAM10 DPYSL2 {}
ADAM10 PTGS2 {}
F2 SETX {}
F2 INPP5D {}
F2 TF {}
CD2AP SQSTM1 {}
INPP5D IGF2 {}
INPP5D GDNF {}
INPP5D DCTN1 {}
INPP5D PGRMC1 {}
ATXN2 OPTN {}
CALM1 IDE {}
DPYSL2 IGF1 {}
DPYSL2 SOD2 {}
DPYSL2 DRD1 {}
DPYSL2 OPTN {}
DPYSL2 PTGS2 {}
DRD1 PTGS2 {}
PTGS2 IGF1 {}
PTGS2 GSTA4 {}
PTGS2 SOD2 {}
PTGS2 OPTN {}
RPL14 DPP6 {}
TREM2 OPTN {}
TREM2 GSTM1 {}
TREM2 LRRK2 {}
TREM2 TNF {}
IGF1 GSTA4 {}
IGF1 OPTN {}
AMFR PARK7 {}
HNRNPA1 DCTN1 {}
NOS3 MATR3 {}
LRRK2 TF {}
PARK7 SOD2 {}
ENO1 SIGMAR1 {}
SIGMAR1 SOD2 {}
SOD2 NGF {}
