CLU VAPB {}
FUS ENO1 {}
FUS IGF2 {}
FUS IDE {}
ENO1 IDE {}
IDE PICALM {}
IDE TPI1 {}
IDE NOTCH3 {}
IDE IGF2 {}
DPYSL2 HNRNPA2B1 {}
ERBB4 IGF2 {}
ERBB4 UBQLN2 {}
ERBB4 TYROBP {}
ERBB4 GAPDHS {}
PICALM TPI1 {}
PICALM IGF2 {}
ATXN2 TNFRSF21 {}
AMFR HLA-DRA {}
MTHFR TF {}
TYROBP BACE1 {}
TNFRSF21 NOTCH3 {}
BDNF ENO2 {}
ENO2 NOTCH3 {}
NOTCH3 APOC1 {}
