TREM2 HSPA9 {}
BAX MAOB {}
BAX IGF1R {}
BAX PPARG {}
AMFR SORL1 {}
AMFR PON1 {}
AMFR CASP3 {}
CCNF F2 {}
PON1 PSEN1 {}
PON1 IGF1 {}
PON1 FBP1 {}
PON1 GAPDHS {}
OPTN IL1B {}
SIGMAR1 GDNF {}
IGF1R DNM1L {}
IGF1R DCTN1 {}
IGF1R HNRNPA1 {}
IGF1R IL1B {}
IGF1R PPARG {}
HNRNPA1 PPARG {}
PPARG DNM1L {}
PPARG EPHA4 {}
PPARG DCTN1 {}
PPARG IL1B {}
APP BAG5 {}
NGF IL1B {}
NGF PPARGC1A {}
NGF PICALM {}
NGF DPP6 {}
DNM1L EPHA4 {}
DNM1L IL1B {}
MAP3K5 SQSTM1 {}
PGRMC1 FBP1 {}
TF MAOB {}
PICALM CASP3 {}
SQSTM1 DCTN1 {}
HGF TNF {}
TNF DCTN1 {}
DCTN1 TP53 {}
