TF MAOB {}
RPL23A HMOX1 {}
RPL23A BACE1 {}
HMOX1 BACE1 {}
HMOX1 NOTCH3 {}
BACE1 NOTCH3 {}
GPX1 BDNF {}
GPX1 LRRK2 {}
BDNF HSPA1A {}
BDNF RPS8 {}
BDNF SOD2 {}
BDNF LRRK2 {}
BDNF CRH {}
LRRK2 SOD2 {}
LRRK2 CRH {}
HNRNPA1 EPHA1 {}
HNRNPA1 HSPA1A {}
HNRNPA1 ATXN2 {}
HNRNPA1 OPTN {}
TPI1 HSPA1A {}
TPI1 RPS8 {}
TPI1 PPARG {}
TPI1 PSEN1 {}
TPI1 SETX {}
TPI1 RELN {}
HSPA1A PSEN1 {}
HSPA1A PPARG {}
HSPA1A UNC13A {}
HSPA1A TALDO1 {}
HSPA1A PON1 {}
HSPA1A GAK {}
RPS8 PSEN1 {}
RPS8 PPARG {}
RPS8 UNC13A {}
PPARG CRH {}
PPARG UNC13A {}
ATP5A1 PTGS2 {}
PTGS2 APP {}
CLU FUS {}
NOS1 TALDO1 {}
NOS1 ENO1 {}
NOS1 CD2AP {}
TALDO1 EPHA1 {}
TALDO1 MTHFR {}
ENO1 HFE {}
HGF FUS {}
FUS HFE {}
FUS NGF {}
FUS CCNF {}
FUS TFAM {}
FUS DNM1L {}
HFE DNM1L {}
RPL6 EPHA1 {}
RPL6 SNCA {}
RPL6 NCSTN {}
RPL6 EWSR1 {}
RPL6 OPTN {}
FBP1 PGRMC1 {}
FBP1 PINK1 {}
FBP1 DNMT1 {}
IGF1R EIF2S1 {}
PINK1 CHMP2B {}
PINK1 UNC13A {}
PINK1 TFAM {}
PINK1 SIGMAR1 {}
MTHFR DHCR24 {}
GSTM1 GAK {}
EWSR1 EPHA1 {}
EWSR1 C9orf72 {}
EWSR1 TNFRSF21 {}
EWSR1 DHCR24 {}
EWSR1 OPTN {}
TNFRSF21 OPTN {}
OPTN EPHA1 {}
OPTN SNCA {}
OPTN C9orf72 {}
OPTN DHCR24 {}
CRH SOD2 {}
IL6 DHCR24 {}
IL6 IL1B {}
IL6 TNF {}
IL6 ADAM10 {}
EPHA1 SNCA {}
EPHA1 DHCR24 {}
NGF INPP5D {}
CCNF TFAM {}
NQO1 NCSTN {}
TNF DNMT1 {}
INPP5D C9orf72 {}
CASP3 GFAP {}
GFAP C9orf72 {}
C9orf72 TARDBP {}
