SETX APOC1 {}
UBQLN2 HNRNPA2B1 {}
UBQLN2 APOE {}
UBQLN2 IGF1R {}
UBQLN2 NCSTN {}
UBQLN2 CLU {}
GDNF TP53 {}
TP53 EPHA1 {}
TP53 APP {}
IGF2 GAPDHS {}
SNCA RPS8 {}
SNCA GAK {}
SNCA SQSTM1 {}
SNCA HNRNPA1 {}
RPS8 CAMK1G {}
GAK EPHA1 {}
SQSTM1 PGRMC1 {}
HNRNPA1 IDE {}
HNRNPA1 CALM1 {}
HNRNPA1 NQO1 {}
RPL23A ADAM10 {}
LRRK2 HNRNPA2B1 {}
LRRK2 TBK1 {}
TALDO1 NOS1 {}
TALDO1 GPX1 {}
PICALM INS {}
PICALM NCSTN {}
EPHA1 DPP6 {}
EPHA1 HMOX1 {}
EPHA1 IGF1 {}
HMOX1 IGF1 {}
HMOX1 APP {}
IGF1 APP {}
MAPT RPL6 {}
MAPT PARK7 {}
RPL6 NCSTN {}
RPL6 LEP {}
RPL6 GSR {}
RPL6 PARK7 {}
RPL6 CRH {}
PARK7 GSR {}
PARK7 CRH {}
NOS3 TNFRSF21 {}
NOS3 NCSTN {}
NOS3 CD2AP {}
NOS3 IGF2R {}
DCTN1 NCSTN {}
DCTN1 LEP {}
DCTN1 DNMT1 {}
DCTN1 C9orf72 {}
DCTN1 WWOX {}
DCTN1 CAMK1G {}
NCSTN C9orf72 {}
NCSTN DNMT1 {}
NCSTN APOE {}
NCSTN HNRNPA2B1 {}
NCSTN ATXN2 {}
NCSTN SORL1 {}
LEP C9orf72 {}
LEP DNMT1 {}
LEP APOE {}
DNMT1 CRH {}
DNMT1 APOE {}
INS MTHFR {}
MTHFR GSK3B {}
TOMM40 HFE {}
FBP1 HNRNPA2B1 {}
FBP1 ENO1 {}
FBP1 GFAP {}
HNRNPA2B1 TNFRSF21 {}
HNRNPA2B1 HLA-DRA {}
ENO1 EWSR1 {}
HTRA1 HFE {}
HFE EWSR1 {}
HFE SOD1 {}
HFE CHMP2B {}
HFE RPL14 {}
HFE MAOB {}
EWSR1 MAOB {}
BAG5 TNFRSF21 {}
BAG5 BCL2 {}
BAG5 AMFR {}
BAG5 BAX {}
BAG5 IGF2R {}
PINK1 PON1 {}
PINK1 ADAM10 {}
PINK1 MAP2 {}
NOS1 GPX1 {}
ADAM10 PPARG {}
ADAM10 APOE {}
ADAM10 RPL14 {}
ADAM10 BACE1 {}
HLA-DRA HGF {}
TBK1 SORL1 {}
BAX TNFRSF21 {}
BAX PTGS2 {}
BAX PPARGC1A {}
BAX HGF {}
BAX IGF2R {}
PPARGC1A IGF2R {}
IGF2R TNFRSF21 {}
IGF2R BCL2 {}
IGF2R PTGS2 {}
IGF2R HGF {}
CRH GSR {}
RELN HGF {}
RELN TARDBP {}
RELN GSTM1 {}
RELN TNF {}
TNFRSF21 BCL2 {}
TNFRSF21 HGF {}
SOD1 TFAM {}
CHMP2B RPL14 {}
ATP5A1 AMFR {}
GSTM1 MAP2 {}
TFAM PTGS2 {}
NQO1 PGRMC1 {}
PGRMC1 PTGS2 {}
PTGS2 SIGMAR1 {}
