CDK5 SOD1 {}
DRD1 NQO1 {}
DRD1 ENO1 {}
DRD1 APOE {}
CAMK1G HTRA1 {}
CAMK1G HNRNPA2B1 {}
CAMK1G MTHFR {}
HFE IGF1 {}
HNRNPA2B1 HLA-DRB5 {}
HNRNPA2B1 NGF {}
HNRNPA2B1 IL6 {}
HNRNPA2B1 HSPA9 {}
GAK IGF2R {}
TFAM GAPDHS {}
ENO1 TARDBP {}
ENO1 BAX {}
ENO1 TF {}
ENO1 IGF2R {}
ENO1 APOE {}
TF APOE {}
APOE TARDBP {}
APOE SNCA {}
APOE BAX {}
APOE IGF2R {}
ENO2 EPHA4 {}
VAPB IGF2R {}
VAPB SOD2 {}
VAPB A2M {}
VAPB VCP {}
TARDBP SNCA {}
TARDBP IGF2R {}
HNRNPA1 NOS1 {}
UBQLN2 IL6 {}
BACE1 NQO1 {}
A2M MTHFR {}
NOS1 BAX {}
BIN1 EIF2S1 {}
EIF2S1 BAX {}
BAX BCL2 {}
