Target,Dataset,Model,ACC,PRE,REC,F1,AUC,CM,TN,FP,FN,TP,Specificity,Sensitivity
PET,"NDD STRING
No APOE",SVM RBF,0.547945205479452,0.557142857142857,0.951219512195122,0.702702702702703,0.438262195121951,"[[ 1 31]
 [ 2 39]]",0,32,0,41,0,1
PET,"NDD STRING
No APOE",Logistic Regression,0.506849315068493,0.551020408163265,0.658536585365854,0.6,0.508384146341463,"[[10 22]
 [14 27]]",10,22,14,27,0.3125,0.6585
PET,AD STRING,GNN GraphGym,0.6575,0.7222,0.6341,0.6753,0.718,"[[22 10], [15 26]]",22,10,15,26,0.6875,0.6341
PET,AD STRING,GNN GraphGym,0.6575,0.7222,0.6341,0.6753,0.7294,"[[22 10], [15 26]]",22,10,15,26,0.6875,0.6341
PET,AD STRING,GNN GraphGym,0.725,0.7073,0.716,0.6898,0.6898,"[[24 8], [12 29]]",24,8,12,29,0.75,0.7073
PET,NDD STRING,GNN GraphGym,0.6438,0.7273,0.5854,0.6486,0.705,"[[23 9], [17 24]]",23,9,17,24,0.7188,0.5854
PET,NDD STRING,GNN GraphGym,0.5753,0.6316,0.5854,0.6076,0.6349,"[[24 8], [17 24]]",24,8,17,24,0.75,0.5854
PET,NDD STRING,GNN GraphGym,0.6164,0.6444,0.7073,0.6744,0.6814,"[[16 16], [12 24]]",16,16,12,24,0.5,0.6667
PET,"AD STRING
No APOE",GNN GraphGym,0.5616,0.5672,0.9268,0.7037,0.4779,"[[3, 29],[3, 38]",3,29,3,28,0.0938,0.9032
PET,"AD STRING
No APOE",GNN GraphGym,0.5616,0.5849,0.7561,0.6596,0.5404,"[[10, 22],[10, 31]]",10,22,10,31,0.3125,0.7561
PET,"AD STRING
No APOE",GNN GraphGym,0.5753,0.5694,1,0.7257,0.5526,"[[1, 31],[0, 41]]",1,31,0,41,0.0313,1
PET,"NDD STRING
No APOE",GNN GraphGym,0.4658,1,0.0488,0.093,0.5648,"[[32, 0],[39, 2]]",32,0,39,2,1,0.0488
PET,"NDD STRING
No APOE",GNN GraphGym,0.5753,0.9167,0.2683,0.4151,0.6654,"[[31, 1],[30, 11]]",31,1,30,11,0.9688,0.2683
PET,"NDD STRING
No APOE",GNN GraphGym,0.5753,0.5694,1,0.7257,0.5579,"[[1, 31],[0, 41]]",1,31,0,41,0.0313,1
PET,Only APOE,Logistic Regression,0.616438,0.6,0.9512,0.7358,0.6894,"[[6 26], [2 39]]",6,26,2,39,0.1875,0.9512
